player_id,player_name,positions,teams,n_matches,date_of_birth,height_cm,nationality,data_source
430766,Alexis VEGA,FWD,Mexico,5,,,,api.fifa.com
514070,Alfie JONES,DEF,Canada,3,,,,api.fifa.com
433362,Ali ABDI,DEF,Tunisia,3,,,,api.fifa.com
466687,Ali AHMED,FWD,Canada,5,,,,api.fifa.com
416989,Ali Alipour,FWD,IR Iran,3,,,,api.fifa.com
489603,Ali NEMATI,DEF,IR Iran,3,,,,api.fifa.com
448522,Alidu SEIDU,DEF,Ghana,4,,,,api.fifa.com
380007,Alireza BEIRANVAND,GK,IR Iran,3,,,,api.fifa.com
379886,Alireza JAHANBAKHSH,MID,IR Iran,3,,,,api.fifa.com
441252,Alistair JOHNSTON,DEF,Canada,5,,,,api.fifa.com
412144,Alphonso DAVIES,DEF,Canada,5,,,,api.fifa.com
441180,Altay BAYINDIR,GK,Türkiye,3,,,,api.fifa.com
416576,Alvaro FIDALGO,MID,Mexico,5,,,,api.fifa.com
385998,Alvaro MONTERO,GK,Colombia,5,,,,api.fifa.com
430822,Amad DIALLO,FWD,Côte d'Ivoire,4,,,,api.fifa.com
448364,Amadou ONANA,MID,Belgium,5,,,,api.fifa.com
482976,Amar DEDIC,DEF,Bosnia and Herzegovina,4,,,,api.fifa.com
494640,Amar MEMIC,MID,Bosnia and Herzegovina,4,,,,api.fifa.com
405877,Amine GOUIRI,FWD,Algeria,4,,,,api.fifa.com
524320,Amine SBAI,FWD,Morocco,6,,,,api.fifa.com
430196,Amir HADZIAHMETOVIC,MID,Bosnia and Herzegovina,4,,,,api.fifa.com
385031,Amir MURILLO,DEF,Panama,3,,,,api.fifa.com
405639,Amirhossein Hosseinzadeh,FWD,IR Iran,3,,,,api.fifa.com
475921,Amirmohammad RAZAGHINIA,MID,IR Iran,3,,,,api.fifa.com
424071,Anass SALAH EDDINE,DEF,Morocco,6,,,,api.fifa.com
494626,Andreas SCHJELDERUP,MID,Norway,6,,,,api.fifa.com
336472,Andrej KRAMARIC,FWD,Croatia,4,,,,api.fifa.com
441240,Andres ANDRADE,DEF,Panama,3,,,,api.fifa.com
385306,Andres CUBAS,MID,Paraguay,5,,,,api.fifa.com
492189,Andres GOMEZ,FWD,Colombia,5,,,,api.fifa.com
401339,Andy ROBERTSON,DEF,Scotland,3,,,,api.fifa.com
464103,Ange-Yoan BONNY,FWD,Côte d'Ivoire,4,,,,api.fifa.com
402974,Angelo PRECIADO,DEF,Ecuador,4,,,,api.fifa.com
429640,Angelo Stiller,MID,Germany,4,,,,api.fifa.com
411301,Angus Gunn,GK,Scotland,3,,,,api.fifa.com
269514,Anibal GODOY,MID,Panama,3,,,,api.fifa.com
482874,Anis HADJ MOUSSA,FWD,Algeria,4,,,,api.fifa.com
433361,Anis SLIMANE,MID,Tunisia,3,,,,api.fifa.com
430070,Ante BUDIMIR,FWD,Croatia,4,,,,api.fifa.com
441137,Anthony ELANGA,FWD,Sweden,4,,,,api.fifa.com
448189,Anthony GORDON,FWD,England,8,,,,api.fifa.com
337389,Anthony RALSTON,DEF,Scotland,3,,,,api.fifa.com
448299,Anthony VALENCIA,MID,Ecuador,4,,,,api.fifa.com
494279,Antoine MENDY,DEF,Senegal,4,,,,api.fifa.com
448531,Antoine SEMENYO,MID,Ghana,4,,,,api.fifa.com
441251,Antonee ROBINSON,DEF,USA,5,,,,api.fifa.com
483448,Antonio NUSA,FWD,Norway,6,,,,api.fifa.com
379955,Antonio RUEDIGER,DEF,Germany,4,,,,api.fifa.com
369768,Antonio SANABRIA,FWD,Paraguay,5,,,,api.fifa.com
400514,Ao TANAKA,MID,Japan,4,,,,api.fifa.com
484087,Arda GULER,FWD,Türkiye,3,,,,api.fifa.com
448120,Ardon JASHARI,MID,Switzerland,6,,,,api.fifa.com
494639,Arjan MALIC,DEF,Bosnia and Herzegovina,4,,,,api.fifa.com
485324,Arjany MARTHA,MID,Curaçao,3,,,,api.fifa.com
514336,Armando GONZALEZ,FWD,Mexico,5,,,,api.fifa.com
511141,Armando OBISPO,DEF,Curaçao,3,,,,api.fifa.com
489523,Armin GIGOVIC,MID,Bosnia and Herzegovina,4,,,,api.fifa.com
436572,Arthur MASUAKU,DEF,Congo DR,4,,,,api.fifa.com
448346,Arthur THEATE,DEF,Belgium,6,,,,api.fifa.com
481181,Arya YOUSEFI,DEF,IR Iran,3,,,,api.fifa.com
