match_id,competition,season,match_date,stage,group,venue,city,home_team,away_team,home_score,away_score,player_team,opponent_team,home_or_away,player_id,player_name,date_of_birth,nationality,position,shirt_number,starter,substitute,minutes_played,starting_minute,ending_minute,substitution_in_minute,substitution_out_minute,captain,formation_position,formation,goals,assists,own_goals,penalties_scored_shootout,yellow_cards,red_cards,second_yellow,fouls_committed,offsides,data_source,source_url,shots,shots_on_target,shots_off_target,blocked_shots,big_chances,big_chances_missed,touches,touches_in_opponent_box,passes,accurate_passes,pass_accuracy,key_passes,crosses,accurate_crosses,long_balls,accurate_long_balls,through_balls,chances_created,xg,xa,tackles,tackles_won,interceptions,clearances,blocks,recoveries,duels,duels_won,aerial_duels,aerial_duels_won,dribbles_attempted,successful_dribbles,dispossessed,possession_lost,fouls_won,errors_leading_to_shot,errors_leading_to_goal
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,430624,Juan MUSSO,,,GK,1,0,1,0,,,,,0,GK,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,394824,Geronimo RULLI,,,GK,12,0,1,0,,,,,0,GK,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,402934,Marcos SENESI,,,DEF,2,0,1,0,,,,,0,DEF,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,308322,Nicolas TAGLIAFICO,,,DEF,3,0,1,35,85,120,85,,0,DEF,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,402926,Gonzalo MONTIEL,,,DEF,4,0,1,16,104,120,104,,0,DEF,4-4-2,0,0,0,0,1,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,310116,Nicolas OTAMENDI,,,DEF,19,0,1,0,,,,,0,DEF,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,332847,Leandro PAREDES,,,MID,5,0,1,36,84,120,84,,0,MID,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,463661,Valentin BARCO,,,MID,8,0,1,0,,,,,0,MID,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,395414,Giovani Lo Celso,,,MID,11,0,1,0,,,,,0,MID,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,389485,Exequiel PALACIOS,,,MID,14,0,1,0,,,,,0,MID,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,430631,Nico GONZALEZ,,,MID,15,0,1,57,63,120,63,,0,MID,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,416081,Julian ALVAREZ,,,FWD,9,0,1,57,63,120,63,,0,FWD,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,485595,Giuliano SIMEONE,,,FWD,17,0,1,0,,,,,0,FWD,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,441422,Nico PAZ,,,FWD,18,0,1,0,,,,,0,FWD,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Argentina,Cabo Verde,home,495054,Jose Manuel LOPEZ,,,FWD,21,0,1,0,,,,,0,FWD,4-4-2,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,364752,VOZINHA,,,GK,1,1,0,120,0,120,,,0,GK,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,409241,DINEY BORGES,,,DEF,3,1,0,120,0,120,,,0,DEF,4-1-4-1,0,0,1,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,477770,PICO LOPES,,,DEF,4,1,0,120,0,120,,,0,DEF,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,477832,SIDNY LOPES CABRAL,,,DEF,13,1,0,120,0,120,,,0,DEF,4-1-4-1,1,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,477847,STEVEN MOREIRA,,,DEF,22,1,0,120,0,120,,,0,DEF,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,477852,KEVIN PINA,,,MID,6,1,0,100,0,100,,100,0,MID,4-1-4-1,0,0,0,0,1,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,477856,JOVANE CABRAL,,,MID,7,1,0,80,0,80,,80,0,MID,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,477827,DEROY DUARTE,,,MID,14,1,0,100,0,100,,100,0,MID,4-1-4-1,1,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,480966,LAROS DUARTE,,,MID,15,1,0,67,0,67,,67,0,MID,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,401893,NUNO DA COSTA,,,MID,21,1,0,67,0,67,,67,0,MID,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,355642,RYAN MENDES,,,FWD,20,1,0,80,0,80,,80,1,FWD,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,407114,MARCIO ROSA,,,GK,12,0,1,0,,,,,0,GK,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FIFA World Cup 2026,2026,2026-07-03,Round of 32,,Miami Stadium,Miami,Argentina,Cabo Verde,3,2,Cabo Verde,Argentina,away,406281,CJ DOS SANTOS,,,GK,23,0,1,0,,,,,0,GK,4-1-4-1,0,0,0,0,0,0,0,,,api.fifa.com,https://api.fifa.com/api/v3/live/football/17/285023/289287/400021521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
