match_id,player_id,player_name,team,opponent_team,starter,minutes_played,saves,shots_faced,goals_conceded_on_pitch,clean_sheet,penalty_saves,punches,high_claims,errors,data_source
31,448217,Matt TURNER,USA,Australia,0,0,,,,,,,,,api.fifa.com
31,464546,Chris BRADY,USA,Australia,0,0,,,,,,,,,api.fifa.com
31,494557,Patrick BEACH,Australia,USA,1,96,,,2,0,,,,,api.fifa.com
31,339117,Mathew RYAN,Australia,USA,0,0,,,,,,,,,api.fifa.com
31,331135,Paul Izzo,Australia,USA,0,0,,,,,,,,,api.fifa.com
30,411301,Angus Gunn,Scotland,Morocco,1,90,,,1,0,,,,,api.fifa.com
30,442429,Liam KELLY,Scotland,Morocco,0,0,,,,,,,,,api.fifa.com
30,215553,Craig GORDON,Scotland,Morocco,0,0,,,,,,,,,api.fifa.com
30,356956,Yassine BOUNOU,Morocco,Scotland,1,90,,,0,1,,,,,api.fifa.com
30,395755,Munir EL KAJOUI,Morocco,Scotland,0,0,,,,,,,,,api.fifa.com
30,371553,Ahmed Reda TAGNAOUTI,Morocco,Scotland,0,0,,,,,,,,,api.fifa.com
29,308370,ALISSON,Brazil,Haiti,1,90,,,0,1,,,,,api.fifa.com
29,396315,WEVERTON,Brazil,Haiti,0,0,,,,,,,,,api.fifa.com
29,395427,EDERSON,Brazil,Haiti,0,0,,,,,,,,,api.fifa.com
29,295922,Johny Placide,Haiti,Brazil,1,90,,,3,0,,,,,api.fifa.com
29,466835,Alexandre PIERRE,Haiti,Brazil,0,0,,,,,,,,,api.fifa.com
29,466853,Josue DUVERGER,Haiti,Brazil,0,0,,,,,,,,,api.fifa.com
32,441181,Ugurcan CAKIR,Türkiye,Paraguay,1,91,,,1,0,,,,,api.fifa.com
32,360498,Mert GUNOK,Türkiye,Paraguay,0,0,,,,,,,,,api.fifa.com
32,441180,Altay BAYINDIR,Türkiye,Paraguay,0,0,,,,,,,,,api.fifa.com
32,494531,Orlando GILL,Paraguay,Türkiye,1,91,,,0,1,,,,,api.fifa.com
32,318647,Gatito FERNANDEZ,Paraguay,Türkiye,0,0,,,,,,,,,api.fifa.com
32,447991,Gaston OLVEIRA,Paraguay,Türkiye,0,0,,,,,,,,,api.fifa.com
35,424081,Bart Verbruggen,Netherlands,Sweden,1,93,,,1,0,,,,,api.fifa.com
35,506028,Robin ROEFS,Netherlands,Sweden,0,0,,,,,,,,,api.fifa.com
35,448151,Mark FLEKKEN,Netherlands,Sweden,0,0,,,,,,,,,api.fifa.com
35,360496,Kristoffer NORDFELDT,Sweden,Netherlands,1,93,,,5,0,,,,,api.fifa.com
35,489685,Jacob WIDELL ZETTERSTROM,Sweden,Netherlands,0,0,,,,,,,,,api.fifa.com
35,483264,Viktor JOHANSSON,Sweden,Netherlands,0,0,,,,,,,,,api.fifa.com
33,228912,Manuel NEUER,Germany,Côte d'Ivoire,1,94,,,1,0,,,,,api.fifa.com
33,306538,Oliver Baumann,Germany,Côte d'Ivoire,0,0,,,,,,,,,api.fifa.com
