event_id,match_id,minute,added_time,team,player_id,player_name,event_type,event_subtype,related_player_id,description,data_source
644,37,,,IR Iran,379886,Alireza JAHANBAKHSH,Substitution,substitution,448505,IN: Alireza JAHANBAKHSH / OUT: Saleh HARDANI,api.fifa.com
645,37,66,,IR Iran,390535,Mehdi TORABI,Substitution,substitution,448497,IN: Mehdi TORABI / OUT: Mohammad MOHEBBI,api.fifa.com
646,37,66,,IR Iran,390537,Milad MOHAMMADI,Substitution,substitution,288961,IN: Milad MOHAMMADI / OUT: Ehsan HAJISAFI,api.fifa.com
647,37,79,,IR Iran,481180,Shahriyar MOGHANLOO,Substitution,substitution,411644,IN: Shahriyar MOGHANLOO / OUT: Saman GHODDOS,api.fifa.com
648,37,85,,IR Iran,405639,Amirhossein Hosseinzadeh,Substitution,substitution,371736,IN: Amirhossein Hosseinzadeh / OUT: Saeid EZATOLAHI,api.fifa.com
649,40,44,,Uruguay,419100,Maxi ARAUJO,Goal,open_play,402884,,api.fifa.com
650,40,44,,Uruguay,402884,Federico VALVERDE,Assist,assist,419100,assist attributed via sofascore.com,sofascore.com
651,40,45,6,Uruguay,402876,Agustin CANOBBIO,Goal,open_play,,,api.fifa.com
652,40,21,,Cabo Verde,477852,KEVIN PINA,Goal,open_play,,,api.fifa.com
653,40,61,,Cabo Verde,477849,HELIO VARELA,Goal,open_play,,,api.fifa.com
654,40,20,,Uruguay,386538,Rodrigo BENTANCUR,Yellow Card,,,,api.fifa.com
655,40,58,,Uruguay,402893,Mathias OLIVERA,Yellow Card,,,,api.fifa.com
656,40,5,,Cabo Verde,477832,SIDNY LOPES CABRAL,Yellow Card,,,,api.fifa.com
657,40,90,3,Cabo Verde,409241,DINEY BORGES,Yellow Card,,,,api.fifa.com
658,40,70,,Uruguay,402898,Nicolas DE LA CRUZ,Substitution,substitution,441623,IN: Nicolas DE LA CRUZ / OUT: Manuel UGARTE,api.fifa.com
659,40,70,,Uruguay,419126,Darwin NUNEZ,Substitution,substitution,477536,IN: Darwin NUNEZ / OUT: Federico VINAS,api.fifa.com
660,40,81,,Uruguay,419132,Brian RODRIGUEZ,Substitution,substitution,419100,IN: Brian RODRIGUEZ / OUT: Maxi ARAUJO,api.fifa.com
661,40,,,Cabo Verde,477827,DEROY DUARTE,Substitution,substitution,494314,IN: DEROY DUARTE / OUT: TELMO ARCANJO,api.fifa.com
662,40,58,,Cabo Verde,401893,NUNO DA COSTA,Substitution,substitution,477862,IN: NUNO DA COSTA / OUT: GILSON BENCHIMOL,api.fifa.com
663,40,58,,Cabo Verde,477849,HELIO VARELA,Substitution,substitution,373344,IN: HELIO VARELA / OUT: GARRY RODRIGUES,api.fifa.com
664,40,70,,Cabo Verde,480966,LAROS DUARTE,Substitution,substitution,477852,IN: LAROS DUARTE / OUT: KEVIN PINA,api.fifa.com
665,40,80,,Cabo Verde,494313,YANNICK SEMEDO,Substitution,substitution,401894,IN: YANNICK SEMEDO / OUT: JAMIRO MONTEIRO,api.fifa.com
666,38,15,,New Zealand,463580,Finn SURMAN,Goal,open_play,331463,,api.fifa.com
667,38,15,,New Zealand,331463,Tim PAYNE,Assist,assist,463580,assist attributed via sofascore.com,sofascore.com
668,38,58,,Egypt,483161,MOSTAFA ZICO,Goal,open_play,408950,,api.fifa.com
669,38,58,,Egypt,408950,MOHAMED HANY,Assist,assist,483161,assist attributed via sofascore.com,sofascore.com
670,38,67,,Egypt,344654,MOHAMED SALAH,Goal,open_play,483161,,api.fifa.com
671,38,67,,Egypt,483161,MOSTAFA ZICO,Assist,assist,344654,assist attributed via sofascore.com,sofascore.com
672,38,82,,Egypt,363863,TREZEGUET,Goal,open_play,344654,,api.fifa.com
673,38,82,,Egypt,344654,MOHAMED SALAH,Assist,assist,363863,assist attributed via sofascore.com,sofascore.com
674,38,20,,New Zealand,390209,Sarpreet SINGH,Yellow Card,,,,api.fifa.com
675,38,34,,New Zealand,390196,Callum McCOWATT,Yellow Card,,,,api.fifa.com
676,38,17,,Egypt,433469,MOHANAD LASHIN,Yellow Card,,,,api.fifa.com
677,38,66,,New Zealand,423575,Ben OLD,Substitution,substitution,390196,IN: Ben OLD / OUT: Callum McCOWATT,api.fifa.com
