player_id,player_name,position_group,similar_player_id,similar_player_name,similarity
7,Luis Francisco Romo,MF,931,Andreas Rædergård Schjelderup,0.9862913995149669
8,Álvaro Fidalgo,MF,156,Ermin Mahmic,0.9941485202943949
8,Álvaro Fidalgo,MF,250,Gessime Ben Youssef Mustapha Yassine,0.981441015996113
8,Álvaro Fidalgo,MF,947,Giovani Lo Celso,0.9767758633155889
8,Álvaro Fidalgo,MF,319,Giovanni Alejandro Reyna,0.9674497438942408
8,Álvaro Fidalgo,MF,929,Thelonious Gerard Aasgaard,0.9637761704916907
8,Álvaro Fidalgo,MF,780,Sandro Helio Varela,0.9291940583286646
8,Álvaro Fidalgo,MF,349,Mauricio Mauricio,0.887142652154215
8,Álvaro Fidalgo,MF,591,Mattias Olof Svanberg,0.8594245887117816
8,Álvaro Fidalgo,MF,125,Jonathan Osorio,0.7713887801748431
8,Álvaro Fidalgo,MF,226,Danilo Danilo Santos,0.7713887801748431
9,Raúl Alonso Jimenez,FW,113,Cyle Christopher Larin,0.9988194087561735
9,Raúl Alonso Jimenez,FW,483,Amad Diallo,0.9964329413760229
9,Raúl Alonso Jimenez,FW,583,Anthony David Junior Elanga,0.9907587238068885
9,Raúl Alonso Jimenez,FW,1196,Petar Musa,0.9887752266220625
9,Raúl Alonso Jimenez,FW,902,Hussein Ghadhban Aymen,0.9865588716138405
9,Raúl Alonso Jimenez,FW,844,Bradley Jean-Manuel Essolisa Barcola,0.9760853945296449
9,Raúl Alonso Jimenez,FW,166,Khalid Hassan Alhaydos,0.9745724283281421
9,Raúl Alonso Jimenez,FW,1139,Jaminton Leandro Campaz,0.9732123910905811
9,Raúl Alonso Jimenez,FW,16,Julián Andrés Quinones,0.9717296239802676
9,Raúl Alonso Jimenez,FW,155,Jovo Lukic,0.9690054078763827
10,Ernesto Alexis Vega,FW,1246,Azarías Emmanuel Londono,0.9999999999999997
10,Ernesto Alexis Vega,FW,14,Armando Gonzalez,0.9999999999999997
10,Ernesto Alexis Vega,FW,21,César Saúl Huerta,0.9999999999999997
10,Ernesto Alexis Vega,FW,97,Tomáš Chory,0.9999999999999997
10,Ernesto Alexis Vega,FW,91,Mojmír Chytil,0.9999999999999997
10,Ernesto Alexis Vega,FW,139,Samed Bazdar,0.9999999999999997
10,Ernesto Alexis Vega,FW,130,Jayden Nelson,0.9999999999999997
10,Ernesto Alexis Vega,FW,1144,Carlos Andrés Gomez,0.9999999999999997
10,Ernesto Alexis Vega,FW,1113,Igor Sergeev,0.9999999999999997
10,Ernesto Alexis Vega,FW,1089,Simon Bokote Banza,0.9999999999999997
11,Santiago Tomás Gimenez,FW,141,Edin Dzeko,1.0000000000000002
11,Santiago Tomás Gimenez,FW,167,Hassan Akram,1.0000000000000002
11,Santiago Tomás Gimenez,FW,1083,Cedric Bakambu,1.0000000000000002
11,Santiago Tomás Gimenez,FW,275,Ruben Fritzner Providence,1.0000000000000002
11,Santiago Tomás Gimenez,FW,954,Nicolas Paz,1.0000000000000002
11,Santiago Tomás Gimenez,FW,936,Julian Ryerson,1.0000000000000002
11,Santiago Tomás Gimenez,FW,952,Thiago Ezequiel Almada,1.0000000000000002
11,Santiago Tomás Gimenez,FW,477,Ange-Yoan Laurent Bonny,1.0000000000000002
11,Santiago Tomás Gimenez,FW,451,Jürgen Leonardo Locadia,1.0000000000000002
11,Santiago Tomás Gimenez,FW,1164,Azuka Tristan Madueke,1.0000000000000002
12,Carlos Acevedo,GK,64,Bumkeun Song,1.0
12,Carlos Acevedo,GK,48,Stuart Ricardo Goss,1.0
12,Carlos Acevedo,GK,42,Sipho Justin Chaine,1.0
12,Carlos Acevedo,GK,122,Owen Olamidayo Goodman,1.0
12,Carlos Acevedo,GK,101,Lukáš Hornicek,1.0
12,Carlos Acevedo,GK,94,Jind ř ich Stanek,1.0
12,Carlos Acevedo,GK,73,Hyeonwoo Jo,1.0
12,Carlos Acevedo,GK,220,Weverton Weverton,1.0
12,Carlos Acevedo,GK,231,Ederson Ederson,1.0
12,Carlos Acevedo,GK,194,Yvon Landry Mvogo,1.0
13,Francisco Guillermo Ochoa,GK,105,Dayne Tristan St. Clair,0.9999999999999999
13,Francisco Guillermo Ochoa,GK,365,Mathew David Ryan,0.9999999999999999
13,Francisco Guillermo Ochoa,GK,807,Sergio Ramón Rochet,0.9999999999999999
13,Francisco Guillermo Ochoa,GK,937,Juan Agustín Musso,0.7903802751826774
13,Francisco Guillermo Ochoa,GK,881,Mory Diaw,0.550621122333312
13,Francisco Guillermo Ochoa,GK,64,Bumkeun Song,0.49993767188286814
13,Francisco Guillermo Ochoa,GK,48,Stuart Ricardo Goss,0.49993767188286814
13,Francisco Guillermo Ochoa,GK,122,Owen Olamidayo Goodman,0.49993767188286814
13,Francisco Guillermo Ochoa,GK,94,Jind ř ich Stanek,0.49993767188286814
13,Francisco Guillermo Ochoa,GK,194,Yvon Landry Mvogo,0.49993767188286814
14,Armando Gonzalez,FW,1246,Azarías Emmanuel Londono,0.9999999999999997
14,Armando Gonzalez,FW,10,Ernesto Alexis Vega,0.9999999999999997
14,Armando Gonzalez,FW,21,César Saúl Huerta,0.9999999999999997
14,Armando Gonzalez,FW,97,Tomáš Chory,0.9999999999999997
14,Armando Gonzalez,FW,91,Mojmír Chytil,0.9999999999999997
14,Armando Gonzalez,FW,139,Samed Bazdar,0.9999999999999997
14,Armando Gonzalez,FW,130,Jayden Nelson,0.9999999999999997
14,Armando Gonzalez,FW,1144,Carlos Andrés Gomez,0.9999999999999997
14,Armando Gonzalez,FW,1113,Igor Sergeev,0.9999999999999997
14,Armando Gonzalez,FW,1089,Simon Bokote Banza,0.9999999999999997
15,Israel Reyes,DF,74,Youngwoo Seol,0.9999999999999999
15,Israel Reyes,DF,82,Robin Hranac,0.9999999999999999
15,Israel Reyes,DF,1173,Marin Pongracic,0.9999999999999999
15,Israel Reyes,DF,1135,Johan Andrés Mojica,0.9999999999999999
15,Israel Reyes,DF,108,Luc De Fougerolles,0.9999999999999999
15,Israel Reyes,DF,1200,Jonas Adjei Adjetey,0.9999999999999999
15,Israel Reyes,DF,1094,Abdukodir Khusanov,0.9999999999999999
15,Israel Reyes,DF,207,Luca Antony Jaquez,0.9999999999999999
