player_id,player_name,team_id,position,position_group,anomaly_score,is_anomaly
673,Abdelaziz Mohame Mostafa,26,GK,GK,0.48197526201708557,False
559,Keito Nakamura,22,MID,MF,0.48141809995666085,False
581,Alexander Isak,23,FWD,FW,0.48096140586571073,False
313,Matthew Charles Turner,13,GK,GK,0.4790021595979096,False
920,Martín Odegaard,36,MID,MF,0.47748215142767847,False
417,Manuel Peter Neuer,17,GK,GK,0.47637435271046064,False
1015,Mo'ien Hasan Yazeed Abulaila,40,GK,GK,0.47616198438767693,False
1165,Eberechi Oluchi Eze,45,MID,MF,0.47521789828151967,False
979,Rafik Belghali,38,DEF,DF,0.474784024630633,False
595,Bo Kristoffer Nordfeldt,23,GK,GK,0.4747271635589777,False
386,Jackson Alexander Irvine,15,MID,MF,0.4742182873497444,False
926,Marcus Holmgren Holmgren Pedersen,36,DEF,DF,0.47377929847265066,False
1060,Pedro Joao Cancelo,41,DEF,DF,0.4721703123780458,False
969,Riyad Karim Mahrez,38,FWD,FW,0.470990907328711,False
1057,Alexandre Rafael Leao,41,FWD,FW,0.4709546290609453,False
346,Diego Alexander Gomez,14,MID,MF,0.47033163763664154,False
112,Ismaël Kenneth Jordan Kone,5,MID,MF,0.47033163763664154,False
826,Maximiliano Javier Araujo,32,MID,MF,0.4676059311672411,False
876,Ismaila Sarr,34,FWD,FW,0.4672882212729622,False
526,Paul Jan-Paul Van Hecke,21,DEF,DF,0.4669523431945426,False
524,Virgil Van Dijk,21,DEF,DF,0.4669523431945426,False
1220,Ernest Nuamah Nuamah,47,FWD,FW,0.466807485527259,False
166,Khalid Hassan Alhaydos,7,FWD,FW,0.4661310563954694,False
7,Luis Francisco Romo,1,MID,MF,0.4654933934735737,False
128,Promise Oluwatobi Emmanuel David,5,FWD,FW,0.4654488576940256,False
1125,Luis Fernando Diaz,44,FWD,FW,0.46367576593925075,False
2,Jorge Eduardo Sanchez,1,DEF,DF,0.4628757568867246,False
547,Zion Suzuki,22,GK,GK,0.46281161694520034,False
718,Finn Surman,28,DEF,DF,0.4627738168214458,False
20,Mateo Chavez,1,DEF,DF,0.4627738168214458,False
829,Nestor Fernando Muslera,32,GK,GK,0.4619465003512223,False
277,Danley Jean Jacques,11,MID,MF,0.46156972594203455,False
662,Yousry Fouad Haissem Hassan,26,FWD,FW,0.4615457560778198,False
131,Nikola Vasilj,6,GK,GK,0.460693525820235,False
31,Thalente Wandile Mbatha,2,MID,MF,0.46001616515867744,False
413,Ugurcan Cakir,16,GK,GK,0.460007437984799,False
1037,Manel Farhan Ehsan Haddad,40,DEF,DF,0.4591750556189271,False
189,Breel Donald Embolo,8,FWD,FW,0.4588781284947512,False
211,Gabriel Gabriel Magalhaes,9,DEF,DF,0.45799977975360023,False
634,Leandro Trossard,25,FWD,FW,0.4579513515264009,False
357,Julio Cesar Enciso,14,FWD,FW,0.45648334137979785,False
947,Giovani Lo Celso,37,MID,MF,0.4563851480807802,False
742,Aymeric Laporte,29,DEF,DF,0.4559097845283391,False
83,Vladimír Coufal,4,DEF,DF,0.45583455417256374,False
653,Hany Gamal Mohamed Hany,26,DEF,DF,0.45578629018176897,False
248,Issa Laye Lucas Jean Diop,10,DEF,DF,0.455522379639071,False
767,CABRALSidny Sidny Lopes,30,DEF,DF,0.4547521797036515,False
745,Nicholas Williams,29,FWD,FW,0.4542005437781151,False
652,Ahmed Ibrahim Yasser,26,DEF,DF,0.4535623792767611,False
539,Brian Ebenezer Adjei Brobbey,21,FWD,FW,0.45327244912039594,False
735,Ferran Torres,29,FWD,FW,0.45308920293074567,False
114,Jonathan Christian David,5,FWD,FW,0.45305609203922426,False
102,Alexandr Sojka,4,MID,MF,0.452225026481641,False
257,Bilal El Khannouss,10,MID,MF,0.4512361259354988,False
250,Gessime Ben Youssef Mustapha Yassine,10,MID,MF,0.45052323253245946,False
1155,Marcus Rashford,45,FWD,FW,0.44820320286414067,False
996,David Alaba,39,DEF,DF,0.44804710170047907,False
711,Christopher Grant Wood,28,FWD,FW,0.4474128477934838,False
1024,Mohammad Mousa Mousa Altamari,40,FWD,FW,0.44668818526113674,False
193,Dan Ndoye,8,FWD,FW,0.44639802328209377,False
879,Habib Mbacke Diarra,34,MID,MF,0.44634390878618424,False
961,Facundo Axel Medina,37,DEF,DF,0.4457979396179485,False
9,Raúl Alonso Jimenez,1,FWD,FW,0.44575867244396555,False
531,Cody Mathès Gakpo,21,FWD,FW,0.4435548036466295,False
53,Seunggyu Kim,3,GK,GK,0.44351959861121615,False
579,Lucas Erik Holger Bergvall,23,MID,MF,0.4423579817579553,False
958,Lautaro Javier Martinez,37,FWD,FW,0.4421090120573152,False
564,Ayase Ueda,22,FWD,FW,0.441889492800513,False
985,Luca Zinedine Zidane,38,GK,GK,0.4415050883639407,False
849,William Alain André Gabriel Saliba,33,DEF,DF,0.4406077254817979,False
1150,Keaninkin Marc-Isreal Guehi,45,DEF,DF,0.4406077254817979,False
187,Manuel Obafemi Akanji,8,DEF,DF,0.4406077254817979,False
252,Chadi Riad,10,DEF,DF,0.4406077254817979,False
521,Bart Verbruggen,21,GK,GK,0.4398459707849286,False
1063,Vitor Vitinha,41,MID,MF,0.4394792169131624,False
951,Nicolas Ivan Gonzalez,37,MID,MF,0.4394643274886425,False
641,Charles Marc De Ketelaere,25,FWD,FW,0.43937594240332406,False
217,Matheus Matheus Cunha,9,FWD,FW,0.4380045744785275,False
155,Jovo Lukic,6,FWD,FW,0.4369241665661415,False
930,Antonio Eromonsele Nordby Nusa,36,FWD,FW,0.4367499061780116,False
326,Sebastian Matthew Berhalter,13,MID,MF,0.4363065562720909,False
945,Julián Alvarez,37,FWD,FW,0.43578453992390775,False
713,Elijah Henry Just,28,MID,MF,0.4355163197048066,False
1092,Arthur Fuka Masuaku,42,DEF,DF,0.43515547040020996,False
