team_id,team_name,fifa_code,group_letter,confederation,fifa_ranking_pre_tournament,elo_rating,manager_name,avg_possession_pct,avg_total_shots,avg_shots_on_target,avg_corners,avg_fouls,avg_offsides,avg_saves,matches_observed,cluster,n_clusters,silhouette_score
36,Norway,NOR,I,UEFA,44,1775,Ståle Solbakken,52.0,9.833333333333334,4.5,4.0,9.833333333333334,0.8333333333333334,3.1666666666666665,6,1,2,0.33721776242071133
37,Argentina,ARG,J,CONMEBOL,1,2150,Lionel Scaloni,57.875,14.0,6.125,5.25,10.25,2.0,2.0,8,1,2,0.33721776242071133
38,Algeria,ALG,J,CAF,28,1760,Vladimir Petković,56.75,11.25,3.5,2.75,8.0,1.5,2.0,4,1,2,0.33721776242071133
39,Austria,AUT,J,UEFA,24,1830,Ralf Rangnick,46.25,7.75,2.0,2.5,11.75,3.0,3.0,4,0,2,0.33721776242071133
40,Jordan,JOR,J,AFC,63,1610,Jamal Sellami,29.666666666666668,7.333333333333333,2.0,2.3333333333333335,10.666666666666666,1.0,3.6666666666666665,3,0,2,0.33721776242071133
41,Portugal,POR,K,UEFA,5,2010,Roberto Martínez,56.2,12.2,3.4,5.4,8.4,1.6,4.4,5,1,2,0.33721776242071133
42,Congo DR,COD,K,CAF,61,1670,Sébastien Desabre,42.75,10.5,2.5,3.0,10.5,2.5,3.0,4,0,2,0.33721776242071133
45,England,ENG,L,UEFA,4,2050,Thomas Tuchel,52.75,14.625,6.5,5.75,10.25,1.625,2.75,8,1,2,0.33721776242071133
46,Croatia,CRO,L,UEFA,11,1940,Zlatko Dalić,47.5,11.5,5.0,3.75,10.5,2.25,2.0,4,1,2,0.33721776242071133
47,Ghana,GHA,L,CAF,49,1690,Carlos Queiroz,40.5,7.5,1.25,2.25,10.75,1.0,4.25,4,0,2,0.33721776242071133
48,Panama,PAN,L,CONCACAF,34,1680,Thomas Christiansen,44.0,10.333333333333334,2.3333333333333335,2.3333333333333335,13.666666666666666,2.6666666666666665,2.6666666666666665,3,0,2,0.33721776242071133
43,Uzbekistan,UZB,K,AFC,50,1650,Fabio Cannavaro,35.666666666666664,5.333333333333333,1.3333333333333333,3.0,14.0,1.6666666666666667,3.3333333333333335,3,0,2,0.33721776242071133
44,Colombia,COL,K,CONMEBOL,13,1990,Néstor Lorenzo,56.4,17.2,5.2,4.6,11.6,2.0,1.8,5,1,2,0.33721776242071133
