cluster,save_pct,saves_p90,cluster_label,n_players,top_players
0,69.49,3.12,Safe Hands,44,Damián Emiliano Martinez; Unai Simon; Jordan Lee Pickford
1,33.22,1.26,Backup / Limited Minutes,14,Mike Peterson Maignan; Maxime Crepeau; Manuel Peter Neuer
