player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,cluster,cluster_label,saves,shots_faced,conceded,clean_sheets,starts,save_pct,saves_p90
844,Bradley Jean-Manuel Essolisa Barcola,FWD,France,France,8,394,3.0,0.685,0.0,0.0,10.0,2.284,5.0,1.142,117.0,26.726,106.0,24.213,7.0,1.599,17.0,3.883,4.0,0.914,3.0,0.685,9.0,2.056,9.0,2.056,7.0,1.599,7.0,1.599,30.0,6.853,5.0,1.142,1.0,0.228,1.0,0.228,90.6,2,Playmaker / Chance Creator,,,,,,,
369,Jordan Jacob Bos,DEF,Australia,Australia,4,392,0.0,0.0,0.0,0.0,5.0,1.148,2.0,0.459,107.0,24.566,94.0,21.582,8.0,1.837,11.0,2.526,2.0,0.459,5.0,1.148,7.0,1.607,9.0,2.066,7.0,1.607,7.0,1.607,19.0,4.362,4.0,0.918,4.0,0.918,0.0,0.0,87.85,3,Box-to-Box / All-rounder,,,,,,,
655,Abdelaziz Moustafa Ramy Rabia,DEF,Egypt,Egypt,5,391,0.0,0.0,0.0,0.0,1.0,0.23,1.0,0.23,244.0,56.164,224.0,51.56,0.0,0.0,15.0,3.453,5.0,1.151,24.0,5.524,10.0,2.302,21.0,4.834,14.0,3.223,14.0,3.223,8.0,1.841,3.0,0.691,2.0,0.46,0.0,0.0,91.8,1,Ball Progressor,,,,,,,
1151,Bukayo Ayoyinka Saka,FWD,England,England,7,387,3.0,0.698,3.0,0.698,13.0,3.023,7.0,1.628,101.0,23.488,81.0,18.837,23.0,5.349,16.0,3.721,0.0,0.0,1.0,0.233,10.0,2.326,12.0,2.791,1.0,0.233,1.0,0.233,21.0,4.884,4.0,0.93,9.0,2.093,4.0,0.93,80.2,2,Playmaker / Chance Creator,,,,,,,
631,Kevin De Bruyne,MID,Belgium,Belgium,5,386,1.0,0.233,0.0,0.0,20.0,4.663,5.0,1.166,185.0,43.135,153.0,35.674,21.0,4.896,10.0,2.332,0.0,0.0,1.0,0.233,6.0,1.399,5.0,1.166,4.0,0.933,4.0,0.933,13.0,3.031,2.0,0.466,4.0,0.933,0.0,0.0,82.7,2,Playmaker / Chance Creator,,,,,,,
994,Nicolas Seiwald,MID,Austria,Austria,4,386,0.0,0.0,1.0,0.233,3.0,0.699,0.0,0.0,153.0,35.674,141.0,32.876,3.0,0.699,18.0,4.197,3.0,0.699,7.0,1.632,5.0,1.166,15.0,3.497,3.0,0.699,3.0,0.699,3.0,0.699,1.0,0.233,1.0,0.233,0.0,0.0,92.16,3,Box-to-Box / All-rounder,,,,,,,
997,Marcel Sabitzer,MID,Austria,Austria,4,386,1.0,0.233,0.0,0.0,5.0,1.166,2.0,0.466,126.0,29.378,94.0,21.917,30.0,6.995,11.0,2.565,1.0,0.233,4.0,0.933,5.0,1.166,6.0,1.399,1.0,0.233,1.0,0.233,6.0,1.399,2.0,0.466,3.0,0.699,1.0,0.233,74.6,2,Playmaker / Chance Creator,,,,,,,
1008,Konrad Laimer,MID,Austria,Austria,4,386,0.0,0.0,0.0,0.0,1.0,0.233,0.0,0.0,150.0,34.974,130.0,30.311,7.0,1.632,20.0,4.663,5.0,1.166,2.0,0.466,8.0,1.865,14.0,3.264,0.0,0.0,0.0,0.0,7.0,1.632,6.0,1.399,3.0,0.699,3.0,0.699,86.67,3,Box-to-Box / All-rounder,,,,,,,
108,Luc De Fougerolles,DEF,Canada,Canada,5,385,0.0,0.0,0.0,0.0,3.0,0.701,1.0,0.234,191.0,44.649,170.0,39.74,1.0,0.234,12.0,2.805,4.0,0.935,30.0,7.013,6.0,1.403,43.0,10.052,19.0,4.442,17.0,3.974,8.0,1.87,8.0,1.87,8.0,1.87,0.0,0.0,89.01,1,Ball Progressor,,,,,,,
240,Ayyoub Bouaddi,MID,Morocco,Morocco,5,384,0.0,0.0,0.0,0.0,3.0,0.703,0.0,0.0,264.0,61.875,237.0,55.547,0.0,0.0,18.0,4.219,8.0,1.875,6.0,1.406,10.0,2.344,18.0,4.219,2.0,0.469,2.0,0.469,14.0,3.281,3.0,0.703,6.0,1.406,0.0,0.0,89.77,3,Box-to-Box / All-rounder,,,,,,,
245,Ismael Saibari,MID,Morocco,Morocco,5,384,3.0,0.703,0.0,0.0,10.0,2.344,3.0,0.703,95.0,22.266,80.0,18.75,7.0,1.641,11.0,2.578,1.0,0.234,3.0,0.703,3.0,0.703,7.0,1.641,7.0,1.641,6.0,1.406,11.0,2.578,8.0,1.875,3.0,0.703,3.0,0.703,84.21,0,Finisher / Goal Scorer,,,,,,,
