player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct,PC1,PC2,PC3,PC4
710,Marko Seufatu Nikola Stamenic,MID,New Zealand,New Zealand,3,285,0,0.0,0,0.0,3,0.947,0,0.0,171,54.0,156,49.263,2,0.632,17,5.368,2,0.632,8,2.526,14,4.421,15,4.737,2,0.632,2,0.632,5,1.579,4,1.263,0,0.0,0,0.0,91.23,1.8920957841607051,0.2036998009395528,-1.171059018818589,0.867283349472621
711,Christopher Grant Wood,FWD,New Zealand,New Zealand,3,285,0,0.0,2,0.632,5,1.579,2,0.632,47,14.842,36,11.368,0,0.0,2,0.632,0,0.0,2,0.632,0,0.0,0,0.0,15,4.737,14,4.421,2,0.632,2,0.632,1,0.316,4,1.263,76.6,-2.771454859124482,0.8285304673211409,4.142276143925938,-1.2603266928430419
322,Christian Mate Pulisic,FWD,USA,USA,4,284,0,0.0,1,0.317,4,1.268,2,0.634,81,25.669,71,22.5,6,1.901,5,1.585,0,0.0,1,0.317,4,1.268,2,0.634,0,0.0,0,0.0,29,9.19,1,0.317,8,2.535,2,0.634,87.65,-3.483486490035076,-0.669597360419199,-1.5588963504523223,0.018113117876294473
485,Guela Maho-Lewis Doue,DEF,Côte d'Ivoire,Côte d'Ivoire,4,284,0,0.0,0,0.0,1,0.317,0,0.0,163,51.655,143,45.317,11,3.486,12,3.803,2,0.634,9,2.852,14,4.437,17,5.387,6,1.901,6,1.901,5,1.585,6,1.901,5,1.585,0,0.0,87.73,1.6455432255033406,1.382868901518627,-0.8806463365260774,1.2512959807214454
1214,Jerome Opoku,DEF,Ghana,Ghana,3,284,0,0.0,0,0.0,0,0.0,0,0.0,115,36.444,95,30.106,0,0.0,3,0.951,3,0.951,13,4.12,4,1.268,10,3.169,5,1.585,4,1.268,2,0.634,2,0.634,4,1.268,0,0.0,82.61,1.044852476978842,-1.0275555855753167,0.8710091768936976,-0.14664956092441522
1173,Marin Pongracic,DEF,Croatia,Croatia,3,284,0,0.0,0,0.0,1,0.317,0,0.0,200,63.38,182,57.676,0,0.0,3,0.951,3,0.951,27,8.556,5,1.585,10,3.169,6,1.901,4,1.268,9,2.852,3,0.951,0,0.0,0,0.0,91.0,2.6490375698039212,0.020963998928877,0.3043035640638665,-1.3078963830936567
764,Gregory Jamiro Monteiro,MID,Cabo Verde,Cabo Verde,4,283,0,0.0,0,0.0,5,1.59,1,0.318,106,33.71,87,27.668,6,1.908,11,3.498,4,1.272,1,0.318,7,2.226,10,3.18,0,0.0,0,0.0,7,2.226,4,1.272,2,0.636,0,0.0,82.08,-0.34237129744015693,-0.6654141151082172,-1.1700581866059927,0.768701764451992
1023,Iyad Ali Ali Olwan,FWD,Jordan,Jordan,3,283,1,0.318,0,0.0,6,1.908,3,0.954,48,15.265,36,11.449,8,2.544,2,0.636,3,0.954,1,0.318,2,0.636,5,1.59,4,1.272,3,0.954,16,5.088,1,0.318,4,1.272,1,0.318,75.0,-2.950407334709959,-0.3236275365339743,0.40663011054826864,-0.45829881666109495
1199,Caleb Marfo Yirenkyi,MID,Ghana,Ghana,4,282,1,0.319,0,0.0,2,0.638,1,0.319,70,22.34,62,19.787,1,0.319,9,2.872,3,0.957,5,1.596,6,1.915,11,3.511,0,0.0,0,0.0,2,0.638,7,2.234,3,0.957,0,0.0,88.57,-0.49901638661578807,-0.7352580999051815,-0.14921197484246884,1.233274703715504
1094,Abdukodir Khusanov,DEF,Uzbekistan,Uzbekistan,3,282,0,0.0,0,0.0,0,0.0,0,0.0,98,31.277,81,25.851,0,0.0,10,3.191,5,1.596,12,3.83,8,2.553,17,5.426,2,0.638,2,0.638,0,0.0,6,1.915,0,0.0,0,0.0,82.65,1.9006152295213796,-0.6506983702777838,0.20146984845524638,1.3107733515631288
