player_id,player_name,position,team,nationality,matches,minutes,total_goals,goals_p90,total_assists,assists_p90,total_shots,shots_p90,total_shots_on_target,shots_on_target_p90,total_passes,passes_p90,total_accurate_passes,accurate_passes_p90,total_crosses,crosses_p90,total_tackles,tackles_p90,total_interceptions,interceptions_p90,total_clearances,clearances_p90,total_blocks,blocks_p90,total_recoveries,recoveries_p90,total_duels_won,duels_won_p90,total_aerial_duels_won,aerial_duels_won_p90,total_dribbles_attempted,dribbles_attempted_p90,total_fouls_committed,fouls_committed_p90,total_fouls_won,fouls_won_p90,total_offsides,offsides_p90,pass_accuracy_pct
571,Junnosuke Suzuki,DEF,Japan,Japan,2,47,0,0.0,0,0.0,0,0.0,0,0.0,7,13.404,6,11.489,1,1.915,2,3.83,1,1.915,3,5.745,5,9.574,4,7.66,1,1.915,1,1.915,0,0.0,2,3.83,0,0.0,0,0.0,85.71
683,Alireza Jahanbakhsh,MID,IR Iran,IR Iran,2,47,0,0.0,0,0.0,1,1.915,0,0.0,11,21.064,7,13.404,2,3.83,3,5.745,1,1.915,1,1.915,2,3.83,3,5.745,1,1.915,1,1.915,1,1.915,2,3.83,0,0.0,0,0.0,63.64
77,Jisung Eom,MID,Korea Republic,South Korea,2,46,0,0.0,0,0.0,0,0.0,0,0.0,9,17.609,9,17.609,3,5.87,1,1.957,0,0.0,0,0.0,0,0.0,0,0.0,2,3.913,2,3.913,2,3.913,0,0.0,1,1.957,0,0.0,100.0
650,Matias Fernandez-Pardo,FWD,Belgium,Belgium,3,46,0,0.0,0,0.0,3,5.87,0,0.0,15,29.348,13,25.435,3,5.87,2,3.913,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,7.826,0,0.0,0,0.0,0,0.0,86.67
208,Cedric Jan Itten,FWD,Switzerland,Switzerland,3,46,0,0.0,0,0.0,0,0.0,0,0.0,5,9.783,3,5.87,1,1.957,0,0.0,1,1.957,0,0.0,0,0.0,1,1.957,5,9.783,4,7.826,0,0.0,4,7.826,2,3.913,0,0.0,60.0
436,Nadiem Amiri,MID,Germany,Germany,2,46,0,0.0,1,1.957,2,3.913,1,1.957,20,39.13,17,33.261,2,3.913,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,85.0
1079,Meschack Lina Elia,FWD,Congo DR,Congo DR,2,46,0,0.0,0,0.0,2,3.913,1,1.957,14,27.391,13,25.435,2,3.913,2,3.913,0,0.0,1,1.957,0,0.0,2,3.913,1,1.957,1,1.957,5,9.783,2,3.913,0,0.0,0,0.0,92.86
1159,Daniel Johnson Burn,DEF,England,England,3,46,0,0.0,0,0.0,0,0.0,0,0.0,4,7.826,2,3.913,0,0.0,0,0.0,0,0.0,6,11.739,3,5.87,2,3.913,4,7.826,4,7.826,0,0.0,1,1.957,0,0.0,0,0.0,50.0
163,Alaaeldin Ahmed,FWD,Qatar,Qatar,2,45,0,0.0,0,0.0,1,2.0,1,2.0,8,16.0,4,8.0,0,0.0,1,2.0,0,0.0,0,0.0,0,0.0,1,2.0,2,4.0,2,4.0,0,0.0,1,2.0,1,2.0,0,0.0,50.0
686,Mehdi Ghayedi,FWD,IR Iran,IR Iran,1,45,0,0.0,0,0.0,1,2.0,0,0.0,9,18.0,6,12.0,3,6.0,2,4.0,0,0.0,0,0.0,1,2.0,1,2.0,1,2.0,1,2.0,1,2.0,2,4.0,1,2.0,0,0.0,66.67
1059,Manuel Goncalo,FWD,Portugal,Portugal,2,45,1,2.0,0,0.0,2,4.0,1,2.0,11,22.0,10,20.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.0,2,4.0,2,4.0,2,4.0,1,2.0,0,0.0,0,0.0,0,0.0,90.91
416,Can Yılmaz Uzun,FWD,Türkiye,Türkiye,2,45,0,0.0,1,2.0,4,8.0,1,2.0,24,48.0,22,44.0,0,0.0,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,16.0,0,0.0,1,2.0,0,0.0,91.67
974,Ahmed Nadhir Benbouali,FWD,Algeria,Algeria,1,45,1,2.0,0,0.0,2,4.0,2,4.0,8,16.0,6,12.0,1,2.0,2,4.0,0,0.0,0,0.0,1,2.0,2,4.0,4,8.0,4,8.0,0,0.0,0,0.0,0,0.0,0,0.0,75.0
