player_id,player_name,team,position,age,current_value,predicted_post_value,change_abs,change_pct
32,Aubrey Maphosa Modiba,South Africa,DEF,31.0,1800000.0,1833815.0,33815.0,1.9
711,Christopher Grant Wood,New Zealand,FWD,35.0,5000000.0,5096531.0,96531.0,1.9
917,Alexander Sorloth,Norway,FWD,31.0,8599491.0,8755828.0,156337.0,1.8
1164,Azuka Tristan Madueke,England,FWD,24.0,27690961.0,28199127.0,508166.0,1.8
40,Mbekezeli Mfanufikile Mbokazi,South Africa,DEF,21.0,3500000.0,3562697.0,62697.0,1.8
507,Enner Remberto Valencia,Ecuador,FWD,37.0,10214695.0,10397250.0,182555.0,1.8
1168,Reece Lewis James,England,DEF,27.0,60000000.0,61101784.0,1101784.0,1.8
322,Christian Mate Pulisic,USA,FWD,28.0,40000000.0,40708050.0,708050.0,1.8
85,Ladislav Krejci,Czechia,DEF,27.0,22000000.0,22389532.0,389532.0,1.8
661,Mohamed Zaky Mostafa Zico,Egypt,MID,29.0,10781673.0,10973500.0,191827.0,1.8
252,Chadi Riad,Morocco,DEF,23.0,15000000.0,15269438.0,269438.0,1.8
1041,Diogo Diogo Costa,Portugal,GK,27.0,25000000.0,25447346.0,447346.0,1.8
657,Ahmed Ibrahim Trezeguet,Egypt,FWD,32.0,7946604.0,8093713.0,147109.0,1.8
970,Houssem-Eddine Chaabane Aouar,Algeria,MID,28.0,8000000.0,8145026.0,145026.0,1.8
590,Yasin Ayari,Sweden,MID,23.0,35000000.0,35596498.0,596498.0,1.7
930,Antonio Eromonsele Nordby Nusa,Norway,FWD,21.0,32000000.0,32540224.0,540224.0,1.7
121,Tajon Trevor Buchanan,Canada,FWD,27.0,12000000.0,12205744.0,205744.0,1.7
317,Antonee Robinson,USA,DEF,29.0,22000000.0,22382213.0,382213.0,1.7
994,Nicolas Seiwald,Austria,MID,25.0,25000000.0,25417497.0,417497.0,1.7
1057,Alexandre Rafael Leao,Portugal,FWD,27.0,50000000.0,50837193.0,837193.0,1.7
120,Maxime Crepeau,Canada,GK,32.0,1800000.0,1830365.0,30365.0,1.7
