,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
goals_p90,-0.27667276195640295,0.2174167672552128,0.03198019234739847,-0.2635250812020443,0.4429942987612809,-0.13972391219160415,-0.01816944678453964,0.020103698999290605,-0.014039905494142156,0.06169945168465002,-0.12199896388139239,0.15970059284703503
assists_p90,-0.13972020915079786,0.08902472734799244,-0.18169677204546095,-0.19794404775417607,0.13699823862622468,0.49564323774079194,0.6791890659351432,-0.218289078084518,0.2709771442695089,-0.1850199638114125,-0.00807750779510405,-0.0162732328858059
shots_p90,-0.3250007733529172,0.29947778560126176,-0.041775437426835246,-0.15642648334242884,0.09201906824934798,-0.09605344900161858,-0.12161371826013803,0.04802613638395797,-0.169883633916534,0.06343895762437453,0.06933189829057523,-0.19474654805903527
shots_on_target_p90,-0.3284800137088222,0.2768997956120833,0.02457999022106299,-0.22403298021814463,0.3076806721375997,-0.1321009555976925,-0.06730987164280995,0.07984473851171163,-0.06448320847343121,0.06210607450395588,-0.05836327026435814,0.0016447462686961223
passes_p90,0.29764816516721077,0.1556963127081713,-0.2847495219605684,-0.4184705216721367,-0.10866141366418018,0.1668733755311204,-0.2284574664180212,0.031835750335707076,-0.09777697196294473,-0.13213709772634316,0.0027119788843806007,0.0072869649307642365
accurate_passes_p90,0.2944155959911505,0.16808415763474482,-0.2733697908135894,-0.41557174282762555,-0.10493212395905965,0.1739382055657559,-0.24508049212389516,0.03223072920532126,-0.10042846976290705,-0.16220957493065982,0.05928234055296625,0.020348487904091522
crosses_p90,-0.1577403288438357,0.11660656944268429,-0.3367941564605071,0.04281207057272044,-0.3785834079366762,0.0888722002299458,0.24996260015307456,0.3375867098041489,-0.20707497221547574,0.5384885447087234,-0.3144886176919414,0.20427306616612317
tackles_p90,0.08301207569162738,0.26708250905024944,-0.255394556376355,0.435014902676738,0.12155215546704282,0.19331973193643162,-0.13480436666330164,0.1777583725011572,-0.012956159459506103,-0.09734171172741604,-0.344008737366019,-0.41976883091543415
interceptions_p90,0.24917708149816778,0.210203808253146,-0.17570416509830078,-0.03315574375416043,0.10559049207276922,-0.3526016180072463,0.059865352681068504,0.20642661464367373,0.5755575451021551,0.23943195474834775,0.21379968642908642,-0.09442925752470477
clearances_p90,0.3340876720151556,0.18307913696562877,0.10632281424515926,0.023566427065415375,0.04680343195373375,-0.13632007594916512,0.2375283361684773,0.09512412385950501,-0.1820975820642854,0.06120464992540584,0.1610388102098254,0.5595778563044964
blocks_p90,0.1710589081649086,0.2661706807464081,-0.14609252794708127,0.3294758522715172,0.22519667066309912,-0.20668058056334287,0.2629794931174883,0.04346610169823932,-0.42083854228462064,-0.41766819791197235,0.05491225634323284,0.05751391028305784
recoveries_p90,0.353275690628805,0.07517393230382875,-0.026522743671133726,-0.015634109560833824,0.14155874103472657,-0.21880986846489617,0.13946798936318588,-0.04688932287994781,0.2838397418116269,0.09159698983433152,-0.33016844990175553,-0.11418111660853322
duels_won_p90,0.1006082691184364,0.3974895095039535,0.444834000073164,-0.04557802124118517,-0.23523035628730543,0.07118707315531785,0.06806511253570646,-0.13050192315231715,-0.030821981426565677,0.07384164407115829,-0.04190003647231074,-0.14680908306654578
aerial_duels_won_p90,0.10719771177872701,0.39877940524965383,0.4383285289388193,-0.043745752454473354,-0.2325979363128571,0.06629492546101291,0.07867360837623526,-0.1265523463636075,-0.04465488162380408,0.08085589322992935,-0.06377963956300575,-0.16942553695087578
dribbles_attempted_p90,-0.21130169265479093,0.16754498147595726,-0.311950315191468,0.07834498558888454,-0.33900525413589705,-0.256216779057842,0.14640828936524192,-0.17714066821056537,-0.03281664317182716,-0.0011877972014052631,0.5600566378779834,-0.25209747394818466
fouls_committed_p90,-0.03181018642364263,0.2980586473508197,-0.016417856627374237,0.3782002370194111,0.18016825898203026,0.48371751724174056,-0.3269816120850089,-0.0476278482871534,0.21336434608633856,0.19785372850154176,0.3395896092319132,0.31406620840815436
fouls_won_p90,-0.19180019503089626,0.20781480735651534,-0.20281564099422375,0.11859129586436687,-0.28638484756347626,-0.24922424139633806,-0.19567916203070834,-0.5050701924728296,0.24856600715746352,-0.2387158880349755,-0.37086808114659203,0.38454893315032995
offsides_p90,-0.22699823547473771,0.09848128048817523,0.19025056578283067,-0.011942944163164623,-0.2792943895638342,0.007441352806303377,0.007911448569875022,0.6466150589171592,0.3118254818656904,-0.5087516037955443,0.007033884424839784,0.13851173706479034
