appearance_id,attempts_at_goal,ball_progressions,crosses_attempted,crosses_completed,goals,line_break_completion_pct,line_breaks_attempted,line_breaks_completed,match_id,match_team_id,pass_completion_pct,passes_attempted,passes_completed,player_id,player_name,shirt_number,source_page,step_ins,switches_of_play,take_ons,team,team_id
2026-M001-MEX-RSA_RSA_21,0,0,0,0,0,86%,7,6,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,90%,51,46,RSA_ime_okon,Ime OKON,21,44,2,0,2,South Africa,RSA
2026-M001-MEX-RSA_RSA_23,0,0,0,0,0,50%,8,4,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,81%,21,17,RSA_jayden_adams,Jayden ADAMS,23,44,0,1,0,South Africa,RSA
2026-M001-MEX-RSA_RSA_05,0,0,0,0,0,100%,1,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,67%,6,4,RSA_thalente_mbatha,Thalente MBATHA,5,44,1,0,1,South Africa,RSA
2026-M001-MEX-RSA_RSA_07,0,0,0,0,0,50%,2,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,83%,6,5,RSA_oswin_appollis,Oswin APPOLLIS,7,44,0,0,0,South Africa,RSA
2026-M001-MEX-RSA_RSA_11,0,0,0,0,0,50%,2,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,71%,7,5,RSA_themba_zwane,Themba ZWANE,11,44,0,0,0,South Africa,RSA
2026-M001-MEX-RSA_RSA_17,0,0,0,0,0,0%,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,50%,2,1,RSA_evidence_makgopa,Evidence MAKGOPA,17,44,0,0,0,South Africa,RSA
2026-M002-KOR-CZE_KOR_01,0,0,0,0,0,35%,17,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,60%,35,21,KOR_kim_seunggyu,KIM Seunggyu,1,42,0,0,0,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_02,1,0,0,0,0,79%,14,11,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,88%,60,53,KOR_lee_hanbeom,LEE Hanbeom,2,42,3,1,3,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_03,0,0,0,0,0,93%,14,13,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,97%,58,56,KOR_lee_gihyuk,LEE Gihyuk,3,42,2,1,2,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_04,0,0,0,0,0,86%,7,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,98%,50,49,KOR_kim_minjae,KIM Minjae,4,42,1,0,1,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_06,3,1,1,1,1,73%,15,11,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,89%,79,70,KOR_hwang_inbeom,HWANG Inbeom,6,42,0,0,1,Korea Republic,KOR
2026-M002-KOR-CZE_KOR_07,6,2,2,0,0,60%,5,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,91%,22,20,KOR_son_heungmin,SON Heungmin,7,42,1,0,3,Korea Republic,KOR
