appearance_id,blocks,clearances,duels_won_aerial,duels_won_physical,interceptions,loose_ball_receptions,match_id,match_team_id,player_id,player_name,possession_contests_won,possession_interrupted,possession_regains,pressing_direct,pressing_indirect,pushing_on,pushing_on_into_pressing,shirt_number,tackles_made_won,team,team_id,topic
2026-M001-MEX-RSA_RSA_20,2,2,0,0,1,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_khuliso_mudau,Khuliso MUDAU,1,3,2,4,30,27,17,20,5 / 0,South Africa,RSA,out_of_possession
2026-M001-MEX-RSA_RSA_21,1,4,2,0,0,7,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_ime_okon,Ime OKON,2,1,9,1,8,29,3,21,2 / 1,South Africa,RSA,out_of_possession
2026-M001-MEX-RSA_RSA_23,3,0,0,0,0,3,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_jayden_adams,Jayden ADAMS,1,1,2,1,22,20,11,23,1 / 0,South Africa,RSA,out_of_possession
2026-M001-MEX-RSA_RSA_05,2,1,1,1,0,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_thalente_mbatha,Thalente MBATHA,3,3,1,4,22,21,11,5,2 / 0,South Africa,RSA,out_of_possession
2026-M001-MEX-RSA_RSA_07,0,0,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_oswin_appollis,Oswin APPOLLIS,0,0,1,0,8,9,7,7,1 / 1,South Africa,RSA,out_of_possession
2026-M001-MEX-RSA_RSA_11,0,0,0,0,0,2,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_themba_zwane,Themba ZWANE,0,0,1,0,12,9,5,11,1 / 0,South Africa,RSA,out_of_possession
2026-M001-MEX-RSA_RSA_17,0,0,3,0,0,2,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_evidence_makgopa,Evidence MAKGOPA,3,0,0,1,11,6,6,17,0 / 0,South Africa,RSA,out_of_possession
2026-M002-KOR-CZE_KOR_01,0,1,0,0,0,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_seunggyu,KIM Seunggyu,0,1,5,0,0,0,0,1,0 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_02,4,5,5,0,0,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_hanbeom,LEE Hanbeom,5,5,8,5,7,22,4,2,1 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_03,2,13,5,0,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_gihyuk,LEE Gihyuk,5,9,7,1,3,9,1,3,1 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_04,3,5,4,0,2,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_minjae,KIM Minjae,4,2,9,3,1,6,3,4,2 / 1,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_06,2,3,2,0,2,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_hwang_inbeom,HWANG Inbeom,2,2,3,4,15,14,9,6,0 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_07,0,0,0,0,0,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_son_heungmin,SON Heungmin,0,0,0,0,16,10,3,7,0 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_08,0,4,1,0,0,4,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_paik_seungho,PAIK Seungho,1,2,2,0,9,16,2,8,0 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_10,3,1,1,0,0,4,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_jaesung,LEE Jaesung,2,1,2,1,14,20,11,10,1 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_13,1,4,2,0,0,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_taeseok,LEE Taeseok,2,3,5,1,5,12,3,13,1 / 1,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_19,1,0,0,0,0,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_kangin,LEE Kangin,1,2,0,1,25,12,9,19,3 / 0,Korea Republic,KOR,out_of_possession
2026-M002-KOR-CZE_KOR_22,1,2,0,0,1,4,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_seol_youngwoo,SEOL Youngwoo,0,1,2,4,11,13,4,22,3 / 0,Korea Republic,KOR,out_of_possession
