appearances_count,display_name,player_id,shirt_numbers,team_id
4,Sasa KALAJDZIC,AUT_sasa_kalajdzic,14,AUT
4,Stefan POSCH,AUT_stefan_posch,5,AUT
4,Xaver SCHLAGER,AUT_xaver_schlager,4,AUT
6,Alexis SAELEMAEKERS,BEL_alexis_saelemaekers,22,BEL
6,Amadou ONANA,BEL_amadou_onana,24,BEL
6,Arthur THEATE,BEL_arthur_theate,3,BEL
6,Axel WITSEL,BEL_axel_witsel,6,BEL
6,Brandon MECHELE,BEL_brandon_mechele,4,BEL
6,Charles DE KETELAERE,BEL_charles_de_ketelaere,17,BEL
6,Diego MOREIRA,BEL_diego_moreira,19,BEL
6,Dodi LUKEBAKIO,BEL_dodi_lukebakio,14,BEL
6,Hans VANAKEN,BEL_hans_vanaken,20,BEL
6,Jeremy DOKU,BEL_jeremy_doku,11,BEL
6,Joaquin SEYS,BEL_joaquin_seys,18,BEL
6,Kevin DE BRUYNE,BEL_kevin_de_bruyne,7,BEL
6,Koni DE WINTER,BEL_koni_de_winter,16,BEL
6,Leandro TROSSARD,BEL_leandro_trossard,10,BEL
6,Matias FERNANDEZ-PARDO,BEL_matias_fernandez_pardo,26,BEL
6,Maxim DE CUYPER,BEL_maxim_de_cuyper,5,BEL
6,Mike PENDERS,BEL_mike_penders,13,BEL
5,Nathan NGOY,BEL_nathan_ngoy,25,BEL
6,Nicolas RASKIN,BEL_nicolas_raskin,23,BEL
6,Romelu LUKAKU,BEL_romelu_lukaku,9,BEL
6,Senne LAMMENS,BEL_senne_lammens,12,BEL
6,Thibaut COURTOIS,BEL_thibaut_courtois,1,BEL
6,Thomas MEUNIER,BEL_thomas_meunier,15,BEL
6,Timothy CASTAGNE,BEL_timothy_castagne,21,BEL
6,Youri TIELEMANS,BEL_youri_tielemans,8,BEL
6,Zeno DEBAST,BEL_zeno_debast,2,BEL
4,Amar DEDIC,BIH_amar_dedic,7,BIH
4,Amar MEMIC,BIH_amar_memic,15,BIH
4,Amir HADZIAHMETOVIC,BIH_amir_hadziahmetovic,16,BIH
4,Arjan MALIC,BIH_arjan_malic,24,BIH
4,Armin GIGOVIC,BIH_armin_gigovic,8,BIH
4,Benjamin TAHIROVIC,BIH_benjamin_tahirovic,6,BIH
4,Dennis HADZIKADUNIC,BIH_dennis_hadzikadunic,3,BIH
4,Dzenis BURNIC,BIH_dzenis_burnic,17,BIH
4,Edin DZEKO,BIH_edin_dzeko,11,BIH
4,Ermedin DEMIROVIC,BIH_ermedin_demirovic,10,BIH
4,Ermin MAHMIC,BIH_ermin_mahmic,26,BIH
