appearance_id,high_speed_runs_zone3,match_id,match_team_id,player_id,player_name,shirt_number,source_page,sprints_zone4_5,team,team_id,top_speed_kmh,total_distance_m,zone1_0_7_kmh_m,zone2_7_15_kmh_m,zone3_15_20_kmh_m,zone4_20_25_kmh_m,zone5_25_plus_kmh_m
2026-M001-MEX-RSA_RSA_19,101.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_nkosinathi_sibisi,Nkosinathi SIBISI,19,51,38.0,South Africa,RSA,29.9,9387.6,3780.7,3935.8,1141.2,389.6,140.3
2026-M001-MEX-RSA_RSA_20,100.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_khuliso_mudau,Khuliso MUDAU,20,51,48.0,South Africa,RSA,33.3,9336.7,3664.0,3701.2,1125.4,538.6,307.4
2026-M001-MEX-RSA_RSA_21,119.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_ime_okon,Ime OKON,21,51,52.0,South Africa,RSA,31.6,9557.8,3716.3,3707.3,1411.8,588.3,134.1
2026-M001-MEX-RSA_RSA_23,78.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_jayden_adams,Jayden ADAMS,23,51,27.0,South Africa,RSA,27.8,6842.3,2717.9,2842.2,900.1,322.1,59.9
2026-M001-MEX-RSA_RSA_05,59.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_thalente_mbatha,Thalente MBATHA,5,51,24.0,South Africa,RSA,34.4,3973.8,1384.2,1565.8,635.7,331.5,56.5
2026-M001-MEX-RSA_RSA_07,37.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_oswin_appollis,Oswin APPOLLIS,7,51,16.0,South Africa,RSA,29.9,2145.3,667.0,898.8,358.2,183.1,38.3
2026-M001-MEX-RSA_RSA_11,35.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_themba_zwane,Themba ZWANE,11,51,10.0,South Africa,RSA,27.4,2021.0,629.5,864.2,389.0,108.7,29.6
2026-M001-MEX-RSA_RSA_17,17.0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_evidence_makgopa,Evidence MAKGOPA,17,51,11.0,South Africa,RSA,32.4,2064.9,837.4,793.2,224.2,144.8,65.2
2026-M002-KOR-CZE_KOR_01,16.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_seunggyu,KIM Seunggyu,1,50,5.0,Korea Republic,KOR,26.9,5527.3,3920.1,1372.3,170.6,49.0,15.3
2026-M002-KOR-CZE_KOR_02,117.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_hanbeom,LEE Hanbeom,2,50,39.0,Korea Republic,KOR,30.1,10260.7,3841.1,4522.5,1362.5,450.1,84.4
2026-M002-KOR-CZE_KOR_03,158.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_gihyuk,LEE Gihyuk,3,50,51.0,Korea Republic,KOR,29.2,10659.3,3552.1,4578.5,1783.8,624.7,120.2
2026-M002-KOR-CZE_KOR_04,113.0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_minjae,KIM Minjae,4,50,35.0,Korea Republic,KOR,31.9,10124.4,3830.0,4407.7,1303.7,428.6,154.4
