appearance_id,cutback,driven,inswing,lofted,match_id,match_team_id,outswing,player_id,player_name,push_cross,shirt_number,team,team_id,topic,total_attempted
2026-M001-MEX-RSA_RSA_07,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,0,RSA_oswin_appollis,Oswin APPOLLIS,0,7,South Africa,RSA,crosses_open_play,0
2026-M001-MEX-RSA_RSA_11,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,0,RSA_themba_zwane,Themba ZWANE,0,11,South Africa,RSA,crosses_open_play,0
2026-M001-MEX-RSA_RSA_17,0,0,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,0,RSA_evidence_makgopa,Evidence MAKGOPA,0,17,South Africa,RSA,crosses_open_play,0
2026-M002-KOR-CZE_KOR_01,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_kim_seunggyu,KIM Seunggyu,0,1,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_02,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_lee_hanbeom,LEE Hanbeom,0,2,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_03,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_lee_gihyuk,LEE Gihyuk,0,3,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_04,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_kim_minjae,KIM Minjae,0,4,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_06,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_hwang_inbeom,HWANG Inbeom,1,6,Korea Republic,KOR,crosses_open_play,1
2026-M002-KOR-CZE_KOR_07,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_son_heungmin,SON Heungmin,0,7,Korea Republic,KOR,crosses_open_play,0
2026-M002-KOR-CZE_KOR_08,0,1,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_paik_seungho,PAIK Seungho,0,8,Korea Republic,KOR,crosses_open_play,1
2026-M002-KOR-CZE_KOR_10,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,KOR_lee_jaesung,LEE Jaesung,1,10,Korea Republic,KOR,crosses_open_play,1
