category,from_left_side,from_right_side,match_id,match_team_id,metric,source_page,team,team_id,value
corners_delivery_style,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Outswing,40,Czechia,CZE,3
corners_delivery_style,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Driven,40,Czechia,CZE,0
corners_delivery_style,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Lofted,40,Czechia,CZE,0
free_kicks,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Direct,40,Czechia,CZE,9
free_kicks,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Direct (on target),40,Czechia,CZE,0
free_kicks,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Direct (off target),40,Czechia,CZE,0
free_kicks,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Indirect,40,Czechia,CZE,2
summary,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,total_set_plays,40,Czechia,CZE,32
summary,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,total_free_kicks,40,Czechia,CZE,11
summary,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,total_penalties,40,Czechia,CZE,0
summary,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,total_corners,40,Czechia,CZE,5
summary,,,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,total_throw_ins,40,Czechia,CZE,16
corners_delivery_type,1,4,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Direct to Area,39,Canada,CAN,5
corners_delivery_type,1,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Short,39,Canada,CAN,3
corners_delivery_type,0,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Edge of Penalty Area,39,Canada,CAN,1
corners_delivery_style,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Inswing,39,Canada,CAN,1
corners_delivery_style,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Outswing,39,Canada,CAN,5
corners_delivery_style,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Driven,39,Canada,CAN,0
corners_delivery_style,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Lofted,39,Canada,CAN,0
free_kicks,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Direct,39,Canada,CAN,20
free_kicks,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Direct (on target),39,Canada,CAN,0
free_kicks,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Direct (off target),39,Canada,CAN,0
free_kicks,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Indirect,39,Canada,CAN,0
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,total_set_plays,39,Canada,CAN,61
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,total_free_kicks,39,Canada,CAN,20
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,total_penalties,39,Canada,CAN,0
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,total_corners,39,Canada,CAN,9
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,total_throw_ins,39,Canada,CAN,32
corners_delivery_type,1,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Direct to Area,40,Bosnia and Herzegovina,BIH,4
corners_delivery_type,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Short,40,Bosnia and Herzegovina,BIH,0
corners_delivery_type,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Edge of Penalty Area,40,Bosnia and Herzegovina,BIH,0
corners_delivery_style,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Inswing,40,Bosnia and Herzegovina,BIH,3
corners_delivery_style,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Outswing,40,Bosnia and Herzegovina,BIH,1
corners_delivery_style,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Driven,40,Bosnia and Herzegovina,BIH,0
corners_delivery_style,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Lofted,40,Bosnia and Herzegovina,BIH,0
free_kicks,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Direct,40,Bosnia and Herzegovina,BIH,10
free_kicks,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Direct (on target),40,Bosnia and Herzegovina,BIH,0
free_kicks,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Direct (off target),40,Bosnia and Herzegovina,BIH,0
free_kicks,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Indirect,40,Bosnia and Herzegovina,BIH,1
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,total_set_plays,40,Bosnia and Herzegovina,BIH,41
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,total_free_kicks,40,Bosnia and Herzegovina,BIH,11
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,total_penalties,40,Bosnia and Herzegovina,BIH,0
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,total_corners,40,Bosnia and Herzegovina,BIH,4
summary,,,2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,total_throw_ins,40,Bosnia and Herzegovina,BIH,26
