appearance_id,in_behind,in_between,in_front,in_to_out,match_id,match_team_id,no_movement,offers_received,out_to_in,player_id,player_name,shirt_number,source_page,team,team_id,total_offers
2026-M001-MEX-RSA_RSA_17,3,2,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,0,1,0,RSA_evidence_makgopa,Evidence MAKGOPA,17,45,South Africa,RSA,5
2026-M002-KOR-CZE_KOR_01,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,12,5,0,KOR_kim_seunggyu,KIM Seunggyu,1,43,Korea Republic,KOR,12
2026-M002-KOR-CZE_KOR_02,3,0,9,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,18,14,0,KOR_lee_hanbeom,LEE Hanbeom,2,43,Korea Republic,KOR,30
2026-M002-KOR-CZE_KOR_03,0,0,7,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,18,10,0,KOR_lee_gihyuk,LEE Gihyuk,3,43,Korea Republic,KOR,25
2026-M002-KOR-CZE_KOR_04,0,0,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,10,7,0,KOR_kim_minjae,KIM Minjae,4,43,Korea Republic,KOR,11
2026-M002-KOR-CZE_KOR_06,4,10,29,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,3,28,0,KOR_hwang_inbeom,HWANG Inbeom,6,43,Korea Republic,KOR,46
2026-M002-KOR-CZE_KOR_07,14,11,3,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,2,14,0,KOR_son_heungmin,SON Heungmin,7,43,Korea Republic,KOR,30
2026-M002-KOR-CZE_KOR_08,2,11,29,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,6,30,1,KOR_paik_seungho,PAIK Seungho,8,43,Korea Republic,KOR,50
2026-M002-KOR-CZE_KOR_10,11,3,12,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,4,19,1,KOR_lee_jaesung,LEE Jaesung,10,43,Korea Republic,KOR,33
2026-M002-KOR-CZE_KOR_13,21,1,4,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,8,11,3,KOR_lee_taeseok,LEE Taeseok,13,43,Korea Republic,KOR,37
2026-M002-KOR-CZE_KOR_19,3,12,13,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,9,22,4,KOR_lee_kangin,LEE Kangin,19,43,Korea Republic,KOR,43
2026-M002-KOR-CZE_KOR_22,16,2,2,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,11,12,1,KOR_seol_youngwoo,SEOL Youngwoo,22,43,Korea Republic,KOR,34
2026-M002-KOR-CZE_KOR_11,2,2,4,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,6,0,KOR_hwang_heechan,HWANG Heechan,11,43,Korea Republic,KOR,11
2026-M002-KOR-CZE_KOR_16,0,0,2,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,2,0,KOR_park_jinseob,PARK Jinseob,16,43,Korea Republic,KOR,3
2026-M002-KOR-CZE_KOR_18,4,1,0,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,0,2,0,KOR_oh_hyeongyu,OH Hyeongyu,18,43,Korea Republic,KOR,6
2026-M002-KOR-CZE_KOR_24,0,2,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,2,2,0,KOR_kim_jingyu,KIM Jingyu,24,43,Korea Republic,KOR,5
2026-M002-KOR-CZE_KOR_25,6,1,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,2,2,0,KOR_eom_jisung,EOM Jisung,25,43,Korea Republic,KOR,10
2026-M002-KOR-CZE_CZE_01,0,0,0,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,2,2,0,CZE_matej_kovar,Matej KOVAR,1,45,Czechia,CZE,2
