match_id,match_team_id,metric,raw,team,team_id,unit,value
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Ball Progressions,27,Korea Republic,KOR,,27
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Ball Progressions,10,Czechia,CZE,,10
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Defensive Pressures Applied (Direct Pressures),147 (22),Korea Republic,KOR,,147 (22)
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Defensive Pressures Applied (Direct Pressures),301 (54),Czechia,CZE,,301 (54)
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Forced Turnovers,30,Korea Republic,KOR,,30
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Forced Turnovers,40,Czechia,CZE,,40
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Second Balls,49,Korea Republic,KOR,,49
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Second Balls,78,Czechia,CZE,,78
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Total Distance Covered,111.8 km,Korea Republic,KOR,km,111.8
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Total Distance Covered,117.6 km,Czechia,CZE,km,117.6
2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,Zone 4 - Low Speed Sprinting: 20-25 km/h,5.4 km,Korea Republic,KOR,km,5.4
2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,Zone 4 - Low Speed Sprinting: 20-25 km/h,6 km,Czechia,CZE,km,6.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Possession,52.8%,Canada,CAN,%,52.8
2026-M003-CAN-BIH,,Possession,17.3%,contest,CONTEST,%,17.3
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Possession,29.9%,Bosnia and Herzegovina,BIH,%,29.9
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Goals,1,Canada,CAN,,1
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Goals,1,Bosnia and Herzegovina,BIH,,1
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,xG (Expected Goals),1.49,Canada,CAN,,1.49
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,xG (Expected Goals),0.76,Bosnia and Herzegovina,BIH,,0.76
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Attempts at Goal (On Target),13 (4),Canada,CAN,,13 (4)
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Attempts at Goal (On Target),8 (3),Bosnia and Herzegovina,BIH,,8 (3)
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Total Passes (Complete),412 (316),Canada,CAN,,412 (316)
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Total Passes (Complete),279 (186),Bosnia and Herzegovina,BIH,,279 (186)
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Pass Completion %,77%,Canada,CAN,%,77.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Pass Completion %,67%,Bosnia and Herzegovina,BIH,%,67.0
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Completed Line Breaks,84,Canada,CAN,,84
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Completed Line Breaks,61,Bosnia and Herzegovina,BIH,,61
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Defensive Line Breaks,16,Canada,CAN,,16
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Defensive Line Breaks,4,Bosnia and Herzegovina,BIH,,4
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Receptions in the Final Third,143,Canada,CAN,,143
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Receptions in the Final Third,51,Bosnia and Herzegovina,BIH,,51
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Crosses,30,Canada,CAN,,30
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Crosses,8,Bosnia and Herzegovina,BIH,,8
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Ball Progressions,30,Canada,CAN,,30
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Ball Progressions,22,Bosnia and Herzegovina,BIH,,22
2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,Defensive Pressures Applied (Direct Pressures),160 (38),Canada,CAN,,160 (38)
2026-M003-CAN-BIH,2026-M003-CAN-BIH_BIH,Defensive Pressures Applied (Direct Pressures),203 (35),Bosnia and Herzegovina,BIH,,203 (35)
