appearance_id,direction_around,direction_over,direction_through,distribution_ball_progression,distribution_cross,distribution_pass,four_units_attacking_line,four_units_attacking_midfield_line,four_units_defensive_line,four_units_midfield_line,line_break_completion_pct,line_breaks_attempted,line_breaks_completed,match_id,match_team_id,player_id,player_name,shirt_number,team,team_id,three_units_attacking_line,three_units_defensive_line,three_units_midfield_line,topic,two_units_defensive_line,two_units_midfield_line
2026-M001-MEX-RSA_RSA_19,9,10,2,0,0,21,1,0,0,1,67%,21,14,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_nkosinathi_sibisi,Nkosinathi SIBISI,19,South Africa,RSA,12,0,4,line_breaks,1,2
2026-M001-MEX-RSA_RSA_20,2,1,4,1,0,6,0,0,1,0,57%,7,4,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_khuliso_mudau,Khuliso MUDAU,20,South Africa,RSA,0,0,5,line_breaks,1,0
2026-M001-MEX-RSA_RSA_21,1,4,2,0,0,7,0,1,0,0,86%,7,6,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_ime_okon,Ime OKON,21,South Africa,RSA,3,0,2,line_breaks,0,1
2026-M001-MEX-RSA_RSA_23,3,2,3,0,0,8,0,0,0,0,50%,8,4,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_jayden_adams,Jayden ADAMS,23,South Africa,RSA,0,2,4,line_breaks,0,2
2026-M001-MEX-RSA_RSA_05,0,0,1,0,0,1,0,0,0,0,100%,1,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_thalente_mbatha,Thalente MBATHA,5,South Africa,RSA,0,0,1,line_breaks,0,0
2026-M001-MEX-RSA_RSA_07,0,1,1,0,0,2,0,0,0,0,50%,2,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_oswin_appollis,Oswin APPOLLIS,7,South Africa,RSA,1,0,0,line_breaks,0,1
2026-M001-MEX-RSA_RSA_11,1,1,0,0,0,2,0,0,0,0,50%,2,1,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_themba_zwane,Themba ZWANE,11,South Africa,RSA,0,0,1,line_breaks,0,1
2026-M001-MEX-RSA_RSA_17,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,RSA_evidence_makgopa,Evidence MAKGOPA,17,South Africa,RSA,0,0,0,line_breaks,0,0
2026-M002-KOR-CZE_KOR_01,0,16,1,0,0,17,1,0,0,0,35%,17,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_seunggyu,KIM Seunggyu,1,Korea Republic,KOR,4,4,4,line_breaks,0,4
2026-M002-KOR-CZE_KOR_02,6,7,1,0,0,14,0,0,0,0,79%,14,11,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_hanbeom,LEE Hanbeom,2,Korea Republic,KOR,6,2,3,line_breaks,0,3
2026-M002-KOR-CZE_KOR_03,9,3,2,1,0,13,0,0,0,0,93%,14,13,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_gihyuk,LEE Gihyuk,3,Korea Republic,KOR,6,0,4,line_breaks,0,4
2026-M002-KOR-CZE_KOR_04,2,1,4,1,0,6,1,0,0,0,86%,7,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_minjae,KIM Minjae,4,Korea Republic,KOR,2,0,1,line_breaks,0,3
2026-M002-KOR-CZE_KOR_06,4,2,9,1,0,14,0,0,0,0,73%,15,11,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_hwang_inbeom,HWANG Inbeom,6,Korea Republic,KOR,5,0,5,line_breaks,0,5
2026-M002-KOR-CZE_KOR_07,3,1,1,0,1,4,0,0,0,0,60%,5,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_son_heungmin,SON Heungmin,7,Korea Republic,KOR,0,1,2,line_breaks,0,2
2026-M002-KOR-CZE_KOR_08,5,3,6,0,0,14,0,0,0,0,86%,14,12,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_paik_seungho,PAIK Seungho,8,Korea Republic,KOR,2,3,3,line_breaks,0,6
2026-M002-KOR-CZE_KOR_10,0,2,2,0,0,4,0,0,0,0,50%,4,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_jaesung,LEE Jaesung,10,Korea Republic,KOR,0,1,2,line_breaks,0,1
2026-M002-KOR-CZE_KOR_13,3,6,1,0,1,9,0,0,0,0,80%,10,8,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_taeseok,LEE Taeseok,13,Korea Republic,KOR,1,1,2,line_breaks,1,5
2026-M002-KOR-CZE_KOR_19,4,4,3,1,0,10,0,0,0,0,100%,11,11,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_lee_kangin,LEE Kangin,19,Korea Republic,KOR,0,1,3,line_breaks,2,5
2026-M002-KOR-CZE_KOR_22,0,3,3,0,1,5,0,2,0,0,67%,6,4,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_seol_youngwoo,SEOL Youngwoo,22,Korea Republic,KOR,1,0,1,line_breaks,1,1
2026-M002-KOR-CZE_KOR_11,1,0,0,0,0,1,0,0,0,0,100%,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_hwang_heechan,HWANG Heechan,11,Korea Republic,KOR,0,1,0,line_breaks,0,0
2026-M002-KOR-CZE_KOR_16,1,0,1,0,0,2,0,0,0,0,50%,2,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_park_jinseob,PARK Jinseob,16,Korea Republic,KOR,1,0,0,line_breaks,0,1
2026-M002-KOR-CZE_KOR_18,0,1,0,0,0,1,0,0,0,0,0%,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_oh_hyeongyu,OH Hyeongyu,18,Korea Republic,KOR,0,1,0,line_breaks,0,0
2026-M002-KOR-CZE_KOR_24,1,0,0,0,0,1,0,0,0,0,100%,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_kim_jingyu,KIM Jingyu,24,Korea Republic,KOR,0,0,0,line_breaks,0,1
2026-M002-KOR-CZE_KOR_25,1,1,0,1,0,1,0,0,0,0,100%,2,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,KOR_eom_jisung,EOM Jisung,25,Korea Republic,KOR,0,0,0,line_breaks,1,1
2026-M002-KOR-CZE_CZE_01,0,23,0,0,0,23,0,2,0,0,35%,23,8,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_matej_kovar,Matej KOVAR,1,Czechia,CZE,6,2,12,line_breaks,0,1
2026-M002-KOR-CZE_CZE_04,1,5,0,0,0,6,0,0,0,0,33%,6,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_robin_hranac,Robin HRANAC,4,Czechia,CZE,1,0,5,line_breaks,0,0
2026-M002-KOR-CZE_CZE_05,2,10,0,1,0,11,0,0,0,0,25%,12,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_vladimir_coufal,Vladimir COUFAL,5,Czechia,CZE,0,2,6,line_breaks,0,4
2026-M002-KOR-CZE_CZE_06,4,4,2,0,0,10,0,0,1,0,60%,10,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_stepan_chaloupek,Stepan CHALOUPEK,6,Czechia,CZE,2,0,1,line_breaks,0,6
2026-M002-KOR-CZE_CZE_07,4,10,3,0,1,16,1,0,0,0,47%,17,8,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_ladislav_krejci,Ladislav KREJCI,7,Czechia,CZE,6,1,4,line_breaks,0,5
2026-M002-KOR-CZE_CZE_10,0,0,1,0,0,1,0,0,0,0,0%,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_patrik_schick,Patrik SCHICK,10,Czechia,CZE,0,1,0,line_breaks,0,0
2026-M002-KOR-CZE_CZE_15,1,1,0,0,0,2,0,1,0,0,0%,2,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_pavel_sulc,Pavel SULC,15,Czechia,CZE,0,0,1,line_breaks,0,0
2026-M002-KOR-CZE_CZE_17,1,1,1,0,0,3,0,0,0,0,100%,3,3,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_lukas_provod,Lukas PROVOD,17,Czechia,CZE,0,1,1,line_breaks,1,0
2026-M002-KOR-CZE_CZE_20,2,4,3,2,1,6,0,0,0,0,78%,9,7,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_jaroslav_zeleny,Jaroslav ZELENY,20,Czechia,CZE,3,0,3,line_breaks,1,2
2026-M002-KOR-CZE_CZE_22,2,2,4,0,0,8,0,0,0,0,75%,8,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_tomas_soucek,Tomas SOUCEK,22,Czechia,CZE,0,1,2,line_breaks,1,4
2026-M002-KOR-CZE_CZE_24,3,4,3,2,0,8,0,0,0,0,60%,10,6,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_alexandr_sojka,Alexandr SOJKA,24,Czechia,CZE,4,0,2,line_breaks,0,4
2026-M002-KOR-CZE_CZE_09,0,0,1,0,0,1,0,0,0,0,0%,1,0,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_adam_hlozek,Adam HLOZEK,9,Czechia,CZE,0,0,0,line_breaks,0,1
2026-M002-KOR-CZE_CZE_13,0,0,1,0,0,1,0,0,0,0,100%,1,1,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_mojmir_chytil,Mojmir CHYTIL,13,Czechia,CZE,0,0,0,line_breaks,1,0
2026-M002-KOR-CZE_CZE_18,1,3,0,0,0,4,0,0,0,0,50%,4,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_michal_sadilek,Michal SADILEK,18,Czechia,CZE,0,0,1,line_breaks,0,3
2026-M002-KOR-CZE_CZE_19,2,0,0,0,0,2,0,0,0,0,100%,2,2,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,CZE_tomas_chory,Tomas CHORY,19,Czechia,CZE,0,0,1,line_breaks,0,1
2026-M003-CAN-BIH_CAN_16,1,7,0,0,0,8,0,0,0,0,38%,8,3,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_maxime_crepeau,Maxime CREPEAU,16,Canada,CAN,1,0,6,line_breaks,0,1
2026-M003-CAN-BIH_CAN_02,4,17,3,0,2,22,0,0,1,0,58%,24,14,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_alistair_johnston,Alistair JOHNSTON,2,Canada,CAN,6,3,5,line_breaks,1,8
2026-M003-CAN-BIH_CAN_04,2,6,1,0,0,9,0,0,0,0,56%,9,5,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_luc_de_fougerolles,Luc DE FOUGEROLLES,4,Canada,CAN,3,1,1,line_breaks,1,3
2026-M003-CAN-BIH_CAN_07,1,7,5,0,1,12,0,0,0,0,69%,13,9,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_stephen_eustaquio,Stephen EUSTAQUIO,7,Canada,CAN,1,1,3,line_breaks,1,7
2026-M003-CAN-BIH_CAN_08,11,3,9,2,1,20,0,0,0,0,65%,23,15,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_ismael_kone,Ismael KONE,8,Canada,CAN,0,0,9,line_breaks,0,14
2026-M003-CAN-BIH_CAN_10,0,0,1,0,0,1,0,0,0,0,0%,1,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jonathan_david,Jonathan DAVID,10,Canada,CAN,0,0,1,line_breaks,0,0
2026-M003-CAN-BIH_CAN_11,8,2,4,5,1,8,0,0,0,0,50%,14,7,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_liam_millar,Liam MILLAR,11,Canada,CAN,1,2,3,line_breaks,4,4
2026-M003-CAN-BIH_CAN_12,3,2,1,2,0,4,0,0,0,1,33%,6,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_tani_oluwaseyi,Tani OLUWASEYI,12,Canada,CAN,0,1,3,line_breaks,1,0
2026-M003-CAN-BIH_CAN_13,6,5,4,0,1,14,1,1,0,0,47%,15,7,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_derek_cornelius,Derek CORNELIUS,13,Canada,CAN,5,0,4,line_breaks,2,2
2026-M003-CAN-BIH_CAN_17,2,0,1,3,0,0,0,0,0,0,67%,3,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_tajon_buchanan,Tajon BUCHANAN,17,Canada,CAN,0,1,0,line_breaks,1,1
2026-M003-CAN-BIH_CAN_22,5,10,1,0,0,16,0,0,1,0,81%,16,13,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_richie_laryea,Richie LARYEA,22,Canada,CAN,4,2,3,line_breaks,2,4
2026-M003-CAN-BIH_CAN_09,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_cyle_larin,Cyle LARIN,9,Canada,CAN,0,0,0,line_breaks,0,0
2026-M003-CAN-BIH_CAN_14,2,2,0,1,0,3,0,0,0,0,50%,4,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jacob_shaffelburg,Jacob SHAFFELBURG,14,Canada,CAN,0,1,1,line_breaks,2,0
2026-M003-CAN-BIH_CAN_20,1,4,1,0,2,4,0,0,0,0,33%,6,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_ali_ahmed,Ali AHMED,20,Canada,CAN,0,2,1,line_breaks,0,3
2026-M003-CAN-BIH_CAN_21,0,1,1,0,0,2,0,0,0,0,100%,2,2,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_jonathan_osorio,Jonathan OSORIO,21,Canada,CAN,0,0,1,line_breaks,0,1
2026-M003-CAN-BIH_CAN_24,0,0,1,0,0,1,0,0,0,0,100%,1,1,2026-M003-CAN-BIH,2026-M003-CAN-BIH_CAN,CAN_promise_david,Promise DAVID,24,Canada,CAN,0,0,0,line_breaks,0,1
