appearance_id,direction_around,direction_over,direction_through,distribution_ball_progression,distribution_cross,distribution_pass,four_units_attacking_line,four_units_attacking_midfield_line,four_units_defensive_line,four_units_midfield_line,line_break_completion_pct,line_breaks_attempted,line_breaks_completed,match_id,match_team_id,player_id,player_name,shirt_number,team,team_id,three_units_attacking_line,three_units_defensive_line,three_units_midfield_line,topic,two_units_defensive_line,two_units_midfield_line
2026-M011-NED-JPN_NED_14,1,3,3,0,2,5,0,0,0,0,57%,7,4,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_tijjani_reijnders,Tijjani REIJNDERS,14,Netherlands,NED,1,0,0,line_breaks,0,6
2026-M011-NED-JPN_NED_15,7,1,2,0,0,10,0,0,0,0,70%,10,7,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_micky_van_de_ven,Micky VAN DE VEN,15,Netherlands,NED,0,0,2,line_breaks,1,7
2026-M011-NED-JPN_NED_18,1,0,0,0,1,0,0,0,0,0,0%,1,0,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_donyell_malen,Donyell MALEN,18,Netherlands,NED,0,1,0,line_breaks,0,0
2026-M011-NED-JPN_NED_21,8,3,4,0,0,15,0,0,0,0,87%,15,13,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_frenkie_de_jong,Frenkie DE JONG,21,Netherlands,NED,5,1,1,line_breaks,0,8
2026-M011-NED-JPN_NED_22,5,5,0,0,1,9,0,0,1,0,80%,10,8,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_denzel_dumfries,Denzel DUMFRIES,22,Netherlands,NED,0,1,2,line_breaks,2,4
2026-M011-NED-JPN_NED_24,6,1,4,2,0,9,0,0,0,0,82%,11,9,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_crysencio,Crysencio,24,Netherlands,NED,0,2,2,line_breaks,1,6
2026-M011-NED-JPN_NED_05,1,1,0,0,0,2,0,0,0,0,50%,2,1,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_nathan_ake,Nathan AKE,5,Netherlands,NED,1,0,1,line_breaks,0,0
2026-M011-NED-JPN_NED_10,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_memphis_depay,Memphis DEPAY,10,Netherlands,NED,0,0,0,line_breaks,0,0
2026-M011-NED-JPN_NED_19,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_brian_brobbey,Brian BROBBEY,19,Netherlands,NED,0,0,0,line_breaks,0,0
2026-M011-NED-JPN_NED_20,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_teun_koopmeiners,Teun KOOPMEINERS,20,Netherlands,NED,0,0,0,line_breaks,0,0
2026-M011-NED-JPN_NED_26,0,1,0,0,1,0,0,0,0,0,100%,1,1,2026-M011-NED-JPN,2026-M011-NED-JPN_NED,NED_quinten_timber,Quinten TIMBER,26,Netherlands,NED,0,0,0,line_breaks,1,0
2026-M011-NED-JPN_JPN_01,0,8,1,0,0,9,0,0,0,1,11%,9,1,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_zion_suzuki,Zion SUZUKI,1,Japan,JPN,2,1,1,line_breaks,0,4
2026-M011-NED-JPN_JPN_03,6,0,2,0,0,8,0,0,0,0,100%,8,8,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_shogo_taniguchi,Shogo TANIGUCHI,3,Japan,JPN,0,0,0,line_breaks,0,8
2026-M011-NED-JPN_JPN_08,3,4,2,1,0,8,0,1,0,0,67%,9,6,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_takefusa_kubo,Takefusa KUBO,8,Japan,JPN,0,1,1,line_breaks,1,5
2026-M011-NED-JPN_JPN_10,3,2,4,1,1,7,0,0,0,1,56%,9,5,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_ritsu_doan,Ritsu DOAN,10,Japan,JPN,0,0,1,line_breaks,2,5
2026-M011-NED-JPN_JPN_11,1,0,0,0,0,1,0,0,0,0,0%,1,0,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_daizen_maeda,Daizen MAEDA,11,Japan,JPN,0,0,1,line_breaks,0,0
2026-M011-NED-JPN_JPN_13,6,2,1,1,0,8,0,0,0,0,89%,9,8,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_keito_nakamura,Keito NAKAMURA,13,Japan,JPN,1,2,0,line_breaks,2,4
2026-M011-NED-JPN_JPN_15,5,10,2,0,0,17,0,0,0,0,59%,17,10,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_daichi_kamada,Daichi KAMADA,15,Japan,JPN,2,2,4,line_breaks,1,8
2026-M011-NED-JPN_JPN_16,2,4,1,0,0,7,0,0,0,0,71%,7,5,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_tsuyoshi_watanabe,Tsuyoshi WATANABE,16,Japan,JPN,1,0,2,line_breaks,0,4
2026-M011-NED-JPN_JPN_18,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_ayase_ueda,Ayase UEDA,18,Japan,JPN,0,0,0,line_breaks,0,0
2026-M011-NED-JPN_JPN_21,10,4,2,1,2,13,0,1,0,0,75%,16,12,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_hiroki_ito,Hiroki ITO,21,Japan,JPN,2,3,2,line_breaks,2,6
2026-M011-NED-JPN_JPN_24,4,1,1,1,0,5,0,0,0,0,83%,6,5,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_kaishu_sano,Kaishu SANO,24,Japan,JPN,2,0,2,line_breaks,0,2
2026-M011-NED-JPN_JPN_02,0,2,4,0,1,5,0,1,0,0,67%,6,4,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_yukinari_sugawara,Yukinari SUGAWARA,2,Japan,JPN,0,1,1,line_breaks,0,3
2026-M011-NED-JPN_JPN_14,1,2,1,1,1,2,0,0,0,0,50%,4,2,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_junya_ito,Junya ITO,14,Japan,JPN,0,0,1,line_breaks,2,1
2026-M011-NED-JPN_JPN_19,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_koki_ogawa,Koki OGAWA,19,Japan,JPN,0,0,0,line_breaks,0,0
2026-M011-NED-JPN_JPN_22,5,2,0,0,1,6,0,0,0,0,71%,7,5,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_takehiro_tomiyasu,Takehiro TOMIYASU,22,Japan,JPN,0,0,0,line_breaks,0,7
2026-M011-NED-JPN_JPN_26,0,0,1,0,0,1,0,0,0,0,100%,1,1,2026-M011-NED-JPN,2026-M011-NED-JPN_JPN,JPN_kento_shiogai,Kento SHIOGAI,26,Japan,JPN,0,0,0,line_breaks,0,1
2026-M012-SWE-TUN_SWE_23,1,14,0,0,0,15,0,0,0,1,40%,15,6,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_kristoffer_nordfeldt,Kristoffer NORDFELDT,23,Sweden,SWE,2,2,8,line_breaks,0,2
2026-M012-SWE-TUN_SWE_02,7,12,1,0,0,20,0,0,3,0,60%,20,12,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_gustaf_lagerbielke,Gustaf LAGERBIELKE,2,Sweden,SWE,6,3,5,line_breaks,0,3
2026-M012-SWE-TUN_SWE_03,14,4,2,1,0,19,0,0,0,0,85%,20,17,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_victor_lindelof,Victor LINDELOF,3,Sweden,SWE,12,1,3,line_breaks,1,3
2026-M012-SWE-TUN_SWE_04,3,2,2,0,0,7,0,0,0,0,71%,7,5,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_isak_hien,Isak HIEN,4,Sweden,SWE,2,0,1,line_breaks,1,3
2026-M012-SWE-TUN_SWE_05,1,6,0,0,1,6,0,0,1,0,14%,7,1,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_gabriel_gudmundsson,Gabriel GUDMUNDSSON,5,Sweden,SWE,1,1,2,line_breaks,0,2
2026-M012-SWE-TUN_SWE_09,2,1,1,0,1,3,0,0,0,0,75%,4,3,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_alexander_isak,Alexander ISAK,9,Sweden,SWE,0,1,2,line_breaks,0,1
2026-M012-SWE-TUN_SWE_10,2,1,0,0,0,3,0,0,1,0,100%,3,3,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_benjamin_nygren,Benjamin NYGREN,10,Sweden,SWE,0,0,1,line_breaks,0,1
2026-M012-SWE-TUN_SWE_16,2,2,0,1,0,3,0,0,0,0,75%,4,3,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_jesper_karlstrom,Jesper KARLSTROM,16,Sweden,SWE,1,0,0,line_breaks,0,3
2026-M012-SWE-TUN_SWE_17,2,0,0,0,0,2,0,0,1,0,100%,2,2,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_viktor_gyokeres,Viktor GYOKERES,17,Sweden,SWE,0,1,0,line_breaks,0,0
2026-M012-SWE-TUN_SWE_18,2,6,4,0,2,10,0,0,0,0,42%,12,5,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_yasin_ayari,Yasin AYARI,18,Sweden,SWE,1,1,3,line_breaks,1,6
2026-M012-SWE-TUN_SWE_21,4,3,1,2,0,6,0,0,0,0,62%,8,5,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_alexander_bernhardsson,Alexander BERNHARDSSON,21,Sweden,SWE,1,0,5,line_breaks,2,0
2026-M012-SWE-TUN_SWE_07,1,0,3,0,0,4,0,0,0,0,100%,4,4,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_lucas_bergvall,Lucas BERGVALL,7,Sweden,SWE,0,0,4,line_breaks,0,0
2026-M012-SWE-TUN_SWE_08,1,0,0,0,0,1,0,0,0,0,0%,1,0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_daniel_svensson,Daniel SVENSSON,8,Sweden,SWE,0,0,0,line_breaks,1,0
2026-M012-SWE-TUN_SWE_11,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_anthony_elanga,Anthony ELANGA,11,Sweden,SWE,0,0,0,line_breaks,0,0
2026-M012-SWE-TUN_SWE_19,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_mattias_svanberg,Mattias SVANBERG,19,Sweden,SWE,0,0,0,line_breaks,0,0
2026-M012-SWE-TUN_SWE_24,2,1,2,1,0,4,0,0,0,0,100%,5,5,2026-M012-SWE-TUN,2026-M012-SWE-TUN_SWE,SWE_elliot_stroud,Elliot STROUD,24,Sweden,SWE,1,2,1,line_breaks,0,1
2026-M012-SWE-TUN_TUN_01,0,9,0,0,0,9,0,2,0,1,33%,9,3,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_mouhib_chamakh,Mouhib CHAMAKH,1,Tunisia,TUN,0,0,4,line_breaks,0,2
2026-M012-SWE-TUN_TUN_02,1,3,1,0,0,5,0,1,1,0,20%,5,1,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_ali_abdi,Ali ABDI,2,Tunisia,TUN,1,1,1,line_breaks,0,0
2026-M012-SWE-TUN_TUN_03,0,3,0,0,0,3,0,0,0,0,67%,3,2,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_montassar_talbi,Montassar TALBI,3,Tunisia,TUN,1,0,2,line_breaks,0,0
2026-M012-SWE-TUN_TUN_04,10,4,3,0,0,17,1,1,0,0,76%,17,13,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_omar_rekik,Omar REKIK,4,Tunisia,TUN,5,1,3,line_breaks,0,6
2026-M012-SWE-TUN_TUN_08,1,0,0,0,0,1,0,0,0,0,100%,1,1,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_elias_saad,Elias SAAD,8,Tunisia,TUN,0,0,0,line_breaks,1,0
2026-M012-SWE-TUN_TUN_10,8,13,6,0,4,23,0,0,0,1,59%,27,16,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_hannibal_mejbri,Hannibal MEJBRI,10,Tunisia,TUN,3,4,11,line_breaks,2,6
2026-M012-SWE-TUN_TUN_13,0,1,1,0,0,2,0,0,0,0,50%,2,1,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_rani_khedira,Rani KHEDIRA,13,Tunisia,TUN,0,1,1,line_breaks,0,0
2026-M012-SWE-TUN_TUN_17,4,2,8,1,0,13,0,0,0,0,79%,14,11,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_ellyes_skhiri,Ellyes SKHIRI,17,Tunisia,TUN,4,2,5,line_breaks,0,3
2026-M012-SWE-TUN_TUN_20,2,1,1,1,0,3,0,0,0,0,25%,4,1,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_yan_valery,Yan VALERY,20,Tunisia,TUN,1,3,0,line_breaks,0,0
2026-M012-SWE-TUN_TUN_21,11,10,4,2,0,23,1,0,0,0,84%,25,21,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_mohamed_amine_ben_hmida,Mohamed Amine BEN HMIDA,21,Tunisia,TUN,13,0,9,line_breaks,0,2
2026-M012-SWE-TUN_TUN_25,2,1,1,0,0,4,0,0,0,0,50%,4,2,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_anis_slimane,Anis SLIMANE,25,Tunisia,TUN,0,0,4,line_breaks,0,0
2026-M012-SWE-TUN_TUN_07,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_elias_achouri,Elias ACHOURI,7,Tunisia,TUN,0,0,0,line_breaks,0,0
2026-M012-SWE-TUN_TUN_11,0,1,0,0,1,0,0,0,0,0,0%,1,0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_ismael_gharbi,Ismael GHARBI,11,Tunisia,TUN,0,0,0,line_breaks,0,1
2026-M012-SWE-TUN_TUN_15,1,2,1,0,0,4,0,0,0,0,100%,4,4,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_mohamed_hadj_mahmoud,Mohamed HADJ MAHMOUD,15,Tunisia,TUN,2,0,2,line_breaks,0,0
2026-M012-SWE-TUN_TUN_19,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_firas_chaouat,Firas CHAOUAT,19,Tunisia,TUN,0,0,0,line_breaks,0,0
2026-M012-SWE-TUN_TUN_26,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M012-SWE-TUN,2026-M012-SWE-TUN_TUN,TUN_sebastian_tounekti,Sebastian TOUNEKTI,26,Tunisia,TUN,0,0,0,line_breaks,0,0
2026-M013-KSA-URU_KSA_21,0,21,0,0,0,21,0,1,0,0,19%,21,4,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_mohammed_alowais,MOHAMMED ALOWAIS,21,Saudi Arabia,KSA,4,2,6,line_breaks,0,8
2026-M013-KSA-URU_KSA_04,0,5,2,0,0,7,0,1,0,0,57%,7,4,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_abdulelah_alamri,ABDULELAH ALAMRI,4,Saudi Arabia,KSA,2,0,2,line_breaks,0,2
2026-M013-KSA-URU_KSA_05,3,1,4,0,0,8,0,0,0,0,62%,8,5,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_hassan_altambakti,HASSAN ALTAMBAKTI,5,Saudi Arabia,KSA,7,0,0,line_breaks,0,1
2026-M013-KSA-URU_KSA_07,0,3,1,0,0,4,0,0,0,0,25%,4,1,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_musab_aljuwayr,MUSAB ALJUWAYR,7,Saudi Arabia,KSA,1,1,1,line_breaks,1,0
2026-M013-KSA-URU_KSA_09,0,0,1,0,0,1,0,0,0,0,0%,1,0,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_feras_albrikan,FERAS ALBRIKAN,9,Saudi Arabia,KSA,0,1,0,line_breaks,0,0
2026-M013-KSA-URU_KSA_10,5,3,4,0,0,12,0,0,0,0,75%,12,9,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_salem_aldawsari,SALEM ALDAWSARI,10,Saudi Arabia,KSA,2,1,5,line_breaks,0,4
2026-M013-KSA-URU_KSA_12,3,7,1,1,0,10,0,0,0,2,45%,11,5,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_saud_abdulhamid,SAUD ABDULHAMID,12,Saudi Arabia,KSA,2,1,4,line_breaks,0,2
2026-M013-KSA-URU_KSA_15,2,1,2,1,0,4,0,0,0,0,100%,5,5,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_abdullah_alkhaibari,ABDULLAH ALKHAIBARI,15,Saudi Arabia,KSA,3,0,2,line_breaks,0,0
2026-M013-KSA-URU_KSA_23,5,0,7,1,0,11,0,0,0,0,83%,12,10,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_mohamed_kanno,MOHAMED KANNO,23,Saudi Arabia,KSA,3,1,2,line_breaks,1,5
2026-M013-KSA-URU_KSA_24,1,7,3,0,0,11,0,0,1,0,55%,11,6,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_moteb_alharbi,MOTEB ALHARBI,24,Saudi Arabia,KSA,2,1,6,line_breaks,0,1
2026-M013-KSA-URU_KSA_26,1,3,1,0,0,5,0,0,0,0,40%,5,2,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_mohammed_abu_alshamat,MOHAMMED ABU ALSHAMAT,26,Saudi Arabia,KSA,2,1,1,line_breaks,0,1
2026-M013-KSA-URU_KSA_03,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_ali_lajami,ALI LAJAMI,3,Saudi Arabia,KSA,0,0,0,line_breaks,0,0
2026-M013-KSA-URU_KSA_06,2,1,1,0,0,4,0,0,0,0,75%,4,3,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_nasser_aldawsari,NASSER ALDAWSARI,6,Saudi Arabia,KSA,0,0,1,line_breaks,1,2
2026-M013-KSA-URU_KSA_13,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_nawaf_bu_washl,NAWAF BU WASHL,13,Saudi Arabia,KSA,0,0,0,line_breaks,0,0
2026-M013-KSA-URU_KSA_18,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_ala_alhajji,ALA ALHAJJI,18,Saudi Arabia,KSA,0,0,0,line_breaks,0,0
2026-M013-KSA-URU_KSA_19,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M013-KSA-URU,2026-M013-KSA-URU_KSA,KSA_abdullah_alhamddan,ABDULLAH ALHAMDDAN,19,Saudi Arabia,KSA,0,0,0,line_breaks,0,0
2026-M013-KSA-URU_URU_23,1,4,0,0,0,5,0,0,0,0,100%,5,5,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_fernando_muslera,Fernando MUSLERA,23,Uruguay,URU,1,0,3,line_breaks,0,1
2026-M013-KSA-URU_URU_03,14,8,2,2,1,21,1,0,1,0,75%,24,18,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_sebastian_caceres,Sebastian CACERES,3,Uruguay,URU,7,0,5,line_breaks,1,9
2026-M013-KSA-URU_URU_05,4,3,4,0,0,11,0,0,0,0,82%,11,9,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_manuel_ugarte,Manuel UGARTE,5,Uruguay,URU,3,0,2,line_breaks,1,5
2026-M013-KSA-URU_URU_06,10,2,6,1,0,17,0,1,0,0,83%,18,15,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_rodrigo_bentancur,Rodrigo BENTANCUR,6,Uruguay,URU,2,1,4,line_breaks,0,10
2026-M013-KSA-URU_URU_08,6,5,3,2,1,11,0,0,0,0,64%,14,9,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_federico_valverde,Federico VALVERDE,8,Uruguay,URU,2,1,1,line_breaks,4,6
2026-M013-KSA-URU_URU_09,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_darwin_nunez,Darwin NUNEZ,9,Uruguay,URU,0,0,0,line_breaks,0,0
2026-M013-KSA-URU_URU_13,10,4,5,1,2,16,0,0,0,0,95%,19,18,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_guillermo_varela,Guillermo VARELA,13,Uruguay,URU,3,3,4,line_breaks,0,9
2026-M013-KSA-URU_URU_16,12,5,6,2,0,21,0,0,0,0,96%,23,22,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_mathias_olivera,Mathias OLIVERA,16,Uruguay,URU,9,1,3,line_breaks,1,9
2026-M013-KSA-URU_URU_17,7,1,2,0,0,10,0,0,0,0,70%,10,7,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_matias_vina,Matias VINA,17,Uruguay,URU,2,0,4,line_breaks,0,4
2026-M013-KSA-URU_URU_20,3,1,1,1,0,4,0,0,0,0,100%,5,5,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_maxi_araujo,Maxi ARAUJO,20,Uruguay,URU,0,2,1,line_breaks,0,2
2026-M013-KSA-URU_URU_21,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_federico_vinas,Federico VINAS,21,Uruguay,URU,0,0,0,line_breaks,0,0
2026-M013-KSA-URU_URU_07,1,2,1,0,0,4,0,0,0,0,100%,4,4,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_nicolas_de_la_cruz,Nicolas DE LA CRUZ,7,Uruguay,URU,0,0,0,line_breaks,0,4
2026-M013-KSA-URU_URU_14,2,1,1,1,1,2,0,0,0,0,75%,4,3,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_agustin_canobbio,Agustin CANOBBIO,14,Uruguay,URU,0,0,1,line_breaks,1,2
2026-M013-KSA-URU_URU_18,4,2,0,0,2,4,0,0,0,0,50%,6,3,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_brian_rodriguez,Brian RODRIGUEZ,18,Uruguay,URU,0,2,1,line_breaks,1,2
2026-M013-KSA-URU_URU_19,0,0,0,0,0,0,0,0,0,0,0%,0,0,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_rodrigo_aguirre,Rodrigo AGUIRRE,19,Uruguay,URU,0,0,0,line_breaks,0,0
2026-M013-KSA-URU_URU_25,7,3,1,0,1,10,0,0,0,0,91%,11,10,2026-M013-KSA-URU,2026-M013-KSA-URU_URU,URU_juan_manuel_sanabria,Juan Manuel SANABRIA,25,Uruguay,URU,1,0,1,line_breaks,1,8
2026-M014-ESP-CPV_ESP_23,0,1,0,0,0,1,0,0,0,0,100%,1,1,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_unai_simon,Unai SIMON,23,Spain,ESP,1,0,0,line_breaks,0,0
2026-M014-ESP-CPV_ESP_05,10,2,1,1,0,12,0,0,0,0,69%,13,9,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_marcos_llorente,Marcos LLORENTE,5,Spain,ESP,2,0,0,line_breaks,4,7
2026-M014-ESP-CPV_ESP_07,3,1,2,0,2,4,0,0,0,0,50%,6,3,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_ferran_torres,Ferran TORRES,7,Spain,ESP,0,1,0,line_breaks,3,2
2026-M014-ESP-CPV_ESP_08,14,4,1,0,2,17,0,0,0,0,89%,19,17,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_fabian_ruiz,Fabian RUIZ,8,Spain,ESP,0,1,2,line_breaks,3,13
2026-M014-ESP-CPV_ESP_09,0,2,1,0,1,2,0,0,0,0,67%,3,2,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_gavi,GAVI,9,Spain,ESP,0,1,1,line_breaks,0,1
2026-M014-ESP-CPV_ESP_14,20,6,6,3,0,29,1,0,0,0,88%,32,28,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_aymeric_laporte,Aymeric LAPORTE,14,Spain,ESP,4,1,2,line_breaks,1,23
2026-M014-ESP-CPV_ESP_16,10,12,9,0,0,31,0,0,1,0,87%,31,27,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_rodri,RODRI,16,Spain,ESP,2,0,0,line_breaks,5,23
2026-M014-ESP-CPV_ESP_20,12,9,11,2,1,29,0,0,0,0,81%,32,26,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_pedri,PEDRI,20,Spain,ESP,0,3,6,line_breaks,3,20
2026-M014-ESP-CPV_ESP_21,1,0,1,1,0,1,0,0,0,0,100%,2,2,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_mikel_oyarzabal,Mikel OYARZABAL,21,Spain,ESP,0,1,0,line_breaks,0,1
2026-M014-ESP-CPV_ESP_22,12,1,2,0,0,15,0,0,0,0,93%,15,14,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_pau_cubarsi,Pau CUBARSI,22,Spain,ESP,1,0,0,line_breaks,0,14
2026-M014-ESP-CPV_ESP_24,7,1,0,0,0,8,0,0,0,0,88%,8,7,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_marc_cucurella,Marc CUCURELLA,24,Spain,ESP,3,1,0,line_breaks,0,4
2026-M014-ESP-CPV_ESP_06,1,0,0,0,0,1,0,0,0,0,100%,1,1,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_mikel_merino,Mikel MERINO,6,Spain,ESP,0,0,0,line_breaks,0,1
2026-M014-ESP-CPV_ESP_10,2,0,0,0,0,2,0,0,0,0,100%,2,2,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_dani_olmo,Dani OLMO,10,Spain,ESP,0,0,0,line_breaks,0,2
2026-M014-ESP-CPV_ESP_17,2,0,0,1,0,1,0,0,0,0,50%,2,1,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_nico_williams,Nico WILLIAMS,17,Spain,ESP,0,1,0,line_breaks,1,0
2026-M014-ESP-CPV_ESP_19,4,3,0,3,2,2,0,0,0,0,57%,7,4,2026-M014-ESP-CPV,2026-M014-ESP-CPV_ESP,ESP_lamine_yamal,Lamine YAMAL,19,Spain,ESP,0,1,0,line_breaks,2,4
2026-M014-ESP-CPV_CPV_01,3,20,2,0,0,25,1,1,0,0,56%,25,14,2026-M014-ESP-CPV,2026-M014-ESP-CPV_CPV,CPV_vozinha,VOZINHA,1,Cabo Verde,CPV,14,0,6,line_breaks,0,3
