appearance_id,appeared,goal_minutes,is_starter,match_id,match_team_id,own_goal_minutes,player_id,player_name,position,red_card_minutes,shirt_number,status,subbed_off_minutes,subbed_on_minutes,team,team_id,team_role,yellow_card_minutes
2026-M001-MEX-RSA_RSA_09,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_lyle_foster,Lyle FOSTER,FW,,9,starting,56,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_13,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_sphephelo_sithole,Sphephelo SITHOLE,MF,49,13,starting,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_14,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_mbekezeli_mbokazi,Mbekezeli MBOKAZI,DF,,14,starting,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_15,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_iqraam_rayners,Iqraam RAYNERS,FW,,15,starting,76,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_19,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_nkosinathi_sibisi,Nkosinathi SIBISI,DF,,19,starting,,,South Africa,RSA,away,74
2026-M001-MEX-RSA_RSA_20,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_khuliso_mudau,Khuliso MUDAU,DF,,20,starting,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_21,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_ime_okon,Ime OKON,DF,,21,starting,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_23,True,,True,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_jayden_adams,Jayden ADAMS,MF,,23,starting,62,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_16,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_sipho_chaine,Sipho CHAINE,GK,,16,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_22,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_ricardo_goss,Ricardo GOSS,GK,,22,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_02,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_thabang_matuludi,Thabang MATULUDI,DF,,2,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_03,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_khulumani_ndamane,Khulumani NDAMANE,DF,,3,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_05,True,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_thalente_mbatha,Thalente MBATHA,MF,,5,substitute,,56,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_07,True,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_oswin_appollis,Oswin APPOLLIS,FW,,7,substitute,,77,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_08,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_tshepang_moremi,Tshepang MOREMI,FW,,8,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_10,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_relebohile_mofokeng,Relebohile MOFOKENG,FW,,10,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_11,True,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_themba_zwane,Themba ZWANE,MF,81,11,substitute,,62,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_12,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_thapelo_maseko,Thapelo MASEKO,FW,,12,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_17,True,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_evidence_makgopa,Evidence MAKGOPA,FW,,17,substitute,,76,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_18,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_samukele_kabini,Samukele KABINI,DF,,18,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_24,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_olwethu_makhanya,Olwethu MAKHANYA,DF,,24,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_25,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_kamogelo_sebelebele,Kamogelo SEBELEBELE,FW,,25,substitute,,,South Africa,RSA,away,
2026-M001-MEX-RSA_RSA_26,False,,False,2026-M001-MEX-RSA,2026-M001-MEX-RSA_RSA,,RSA_bradley_cross,Bradley CROSS,DF,,26,substitute,,,South Africa,RSA,away,
2026-M002-KOR-CZE_KOR_01,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_kim_seunggyu,KIM Seunggyu,GK,,1,starting,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_02,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_lee_hanbeom,LEE Hanbeom,DF,,2,starting,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_03,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_lee_gihyuk,LEE Gihyuk,MF,,3,starting,,,Korea Republic,KOR,home,96
2026-M002-KOR-CZE_KOR_04,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_kim_minjae,KIM Minjae,DF,,4,starting,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_06,True,67,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_hwang_inbeom,HWANG Inbeom,MF,,6,starting,84,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_07,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_son_heungmin,SON Heungmin,FW,,7,starting,69,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_08,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_paik_seungho,PAIK Seungho,MF,,8,starting,84,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_10,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_lee_jaesung,LEE Jaesung,MF,,10,starting,62,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_13,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_lee_taeseok,LEE Taeseok,DF,,13,starting,69,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_19,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_lee_kangin,LEE Kangin,MF,,19,starting,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_22,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_seol_youngwoo,SEOL Youngwoo,DF,,22,starting,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_12,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_song_bumkeun,SONG Bumkeun,GK,,12,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_21,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_jo_hyeonwoo,JO Hyeonwoo,GK,,21,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_05,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_kim_taehyeon,KIM Taehyeon,DF,,5,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_09,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_cho_guesung,CHO Guesung,FW,,9,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_11,True,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_hwang_heechan,HWANG Heechan,MF,,11,substitute,,62,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_14,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_cho_wije,CHO Wije,DF,,14,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_15,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_kim_moonhwan,KIM Moonhwan,DF,,15,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_16,True,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_park_jinseob,PARK Jinseob,DF,,16,substitute,,84,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_17,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_bae_junho,BAE Junho,MF,,17,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_18,True,80,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_oh_hyeongyu,OH Hyeongyu,FW,,18,substitute,,69,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_20,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_yang_hyunjun,YANG Hyunjun,MF,,20,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_23,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_castrop_jens,CASTROP Jens,DF,,23,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_24,True,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_kim_jingyu,KIM Jingyu,MF,,24,substitute,,84,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_25,True,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_eom_jisung,EOM Jisung,MF,,25,substitute,,69,Korea Republic,KOR,home,
2026-M002-KOR-CZE_KOR_26,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_KOR,,KOR_lee_donggyeong,LEE Donggyeong,MF,,26,substitute,,,Korea Republic,KOR,home,
2026-M002-KOR-CZE_CZE_01,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_matej_kovar,Matej KOVAR,GK,,1,starting,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_04,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_robin_hranac,Robin HRANAC,DF,,4,starting,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_05,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_vladimir_coufal,Vladimir COUFAL,DF,,5,starting,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_06,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_stepan_chaloupek,Stepan CHALOUPEK,DF,,6,starting,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_07,True,59,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_ladislav_krejci,Ladislav KREJCI,DF,,7,starting,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_10,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_patrik_schick,Patrik SCHICK,FW,,10,starting,64,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_15,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_pavel_sulc,Pavel SULC,FW,,15,starting,64,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_17,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_lukas_provod,Lukas PROVOD,MF,,17,starting,64,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_20,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_jaroslav_zeleny,Jaroslav ZELENY,DF,,20,starting,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_22,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_tomas_soucek,Tomas SOUCEK,MF,,22,starting,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_24,True,,True,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_alexandr_sojka,Alexandr SOJKA,MF,,24,starting,85,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_16,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_jindrich_stanek,Jindrich STANEK,GK,,16,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_23,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_lukas_hornicek,Lukas HORNICEK,GK,,23,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_02,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_david_zima,David ZIMA,DF,,2,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_03,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_tomas_holes,Tomas HOLES,DF,,3,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_08,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_vladimir_darida,Vladimir DARIDA,MF,,8,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_09,True,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_adam_hlozek,Adam HLOZEK,FW,,9,substitute,,64,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_11,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_jan_kuchta,Jan KUCHTA,FW,,11,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_12,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_lukas_cerv,Lukas CERV,MF,,12,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_13,True,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_mojmir_chytil,Mojmir CHYTIL,FW,,13,substitute,,85,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_14,False,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_david_jurasek,David JURASEK,DF,,14,substitute,,,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_18,True,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_michal_sadilek,Michal SADILEK,MF,,18,substitute,,64,Czechia,CZE,away,
2026-M002-KOR-CZE_CZE_19,True,,False,2026-M002-KOR-CZE,2026-M002-KOR-CZE_CZE,,CZE_tomas_chory,Tomas CHORY,FW,,19,substitute,,64,Czechia,CZE,away,
